interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"52-85-83-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-02-65-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-88-41-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-06-10-95","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-49-31-22","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,3000,,,,,,,,,,
"10-07-11-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-05-66-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-07-01-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-48-11-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-06-61-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-00-56-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"28-16-54-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-25-43-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33-83-81-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-91-64-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-84-03-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-54-65-45","Yes","Yes",,"No","No","No","Yes","No","No","No","No","No","No","No","No","No",,50000,,,,,,,,,,
"55-68-02-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-43-79-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
