interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"15-48-45-49","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"12-80-86-60","Dirt road/ bush road","Well passable","Yes","No","Yes","Yes","Yes","No","Yes","No",,4,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"79-49-70-48","Dirt road/ bush road","Well passable","No","No","No","Yes","No","No","No","No",,2,"Yes","No",,"No",,,,,,"Yes","No","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"17-50-60-85","Dirt road/ bush road","Almost not passable","Yes","No","Yes","No","Yes","No","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"69-60-70-64","Dirt road/ bush road","Well passable","No","Yes","Yes","No","No","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"50-18-09-61","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"92-88-71-89","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","Yes","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"63-56-49-05","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","No","No","No",,15,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"No","No","No","No","No","Yes","No",
"35-15-30-36","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,15,"Yes","No",,"No",,,,,,"No","No","Yes","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"60-45-66-66","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"27-04-54-49","Murram/ gravel road","Almost not passable","Yes","No","Yes","No","No","Yes","No","No",,12,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
