interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"57-65-92-31","No",,,,,,,,,,,"",,48,,"No"
"78-69-73-93",,,,,,,,,,,,"",,,,
"86-71-54-16",,,,,,,,,,,,"",,,,
"49-00-37-24",,,,,,,,,,,,"",,,,
"60-73-62-17",,,,,,,,,,,,"",,,,
"16-68-23-18",,,,,,,,,,,,"",,,,
"75-36-25-09",,,,,,,,,,,,"",,,,
"92-13-03-64",,,,,,,,,,,,"",,,,
"32-53-28-17",,,,,,,,,,,,"",,,,
"18-06-29-93",,,,,,,,,,,,"",,,,
"86-17-31-91","No",,,,,,,,,,,"",,.5,,"No"
"34-05-05-84",,,,,,,,,,,,"",,,,
"24-72-79-56","No",,,,,,,,,,,"",,2,,"No"
"56-10-85-53",,,,,,,,,,,,"",,,,
"65-86-13-71","No",,,,,,,,,,,"",,1,,"No"
"47-19-77-59","No",,,,,,,,,,,"",,60,,"No"
"72-38-19-68",,,,,,,,,,,,"",,,,
"87-95-06-00","Yes","No","Yes","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",104,720000,"No"
"27-03-96-63","No",,,,,,,,,,,"",,23,,"No"
"43-65-32-18","No",,,,,,,,,,,"",,15,,"No"
"20-11-50-00","No",,,,,,,,,,,"",,20,,"No"
"93-65-33-33","No",,,,,,,,,,,"",,4,,"No"
"35-33-01-98","No",,,,,,,,,,,"",,1,,"No"
"52-85-83-28","No",,,,,,,,,,,"",,47,,"No"
