interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"46-13-75-58","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"40-78-00-02","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"69-63-50-52","No","No","No","No","Yes",50000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"20-96-52-92","Yes","Yes","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"37-33-23-29","No","Yes","No","Yes","Yes",20000,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"55-09-60-79","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"13-88-02-80","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-55-09-07","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-93-95-50","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-19-27-00","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"60-48-30-05","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-01-40-08","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-52-09-79","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"07-76-06-35","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"73-75-27-37","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"99-26-76-45","No","No","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"91-46-41-86","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"67-86-22-06","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"98-64-51-77","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"83-59-27-80","No","No","No","Yes","Yes",8000,"Yes","No","Yes","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"12-54-62-85","No","No","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"47-32-93-31","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"45-06-90-36","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"24-42-82-26","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No"
"22-27-70-86","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"04-24-78-04","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-44-01-42","No","No","No","No","Yes",150000,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","No",,,,,,,,,,,,
"55-32-62-10","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-97-28-87","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"79-79-53-26","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"86-05-40-89","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"06-02-25-50","No","No","Yes","No","Yes",200000,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"07-64-12-97","No","No","No","Yes","Yes",10000,"No","Yes","No","No","No","No","No","No","No","No",,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"67-73-53-75","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-07-74-28","No","Yes","No","Yes","No",,,,,,,,,,,,,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"13-42-68-56","No","Yes","No","No","No",,,,,,,,,,,,,"No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"78-89-03-74","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"29-15-86-87","Yes","Yes","Yes","Yes","Yes",30000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"83-15-50-69","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"96-73-61-56","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No"
"68-46-53-43","No","No","No","No","Yes",8000,"Yes","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"65-84-91-55","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"79-25-63-35","No","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"80-29-04-22","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"15-34-92-71","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"28-29-76-59","Yes","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"26-01-09-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-37-06-51","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"81-06-47-80","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No"
"65-79-07-96","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"10-31-70-66","No","Yes","No","Yes","Yes",30000,"No","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"32-61-55-41","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"33-65-05-28","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-31-29-27","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
