interview__key,ctry,region,dist,ward,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"53-23-20-20","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003550","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"52-44-39-84","Tanzania","Iringa","Iringa","Wasa","Mahanzi","Mahanzi & Kibulilo","20003543","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"67-64-28-49","Tanzania","Iringa","Iringa","Itunundu","mbugani","Uwanja wa Ndege 'B'","20001255","No","Yes","Household moved to another village/town/district","","Yes","Yes",,,,
"75-72-38-92","Tanzania","Iringa","Iringa","Mlenge","KINYIKA","Mbuyuni","20003946","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-95-25-26","Tanzania","Iringa","Kilolo","Udekwa","Watalisoli","Wotalisoli","20006037","No","Yes","Household moved to unknown location","","Yes","Yes",,,,
"16-25-25-05","Tanzania","Iringa","Iringa","Wasa","Mahanzi","Mahanzi & Kibulilo","20003552","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"61-27-42-98","Tanzania","Iringa","Iringa","Nduli","Kigasi A","Kigasi 'A' & Kigasi 'B'","20003150","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"47-23-15-41","Tanzania","Iringa","Iringa","Mlenge","kinyika","Mbuyuni","20003947","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"19-28-77-73","Tanzania","Iringa","Iringa","Mlowa","Matalawa","Matalawe","20002643","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"68-18-94-35","Tanzania","Iringa","Iringa","Itunundu","kimande","Mwatenga","20001153","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-17-92-46","Tanzania","Iringa","Iringa","Mlowa","malizanga","Matalawe","20002648","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-76-84-35","Tanzania","Iringa","Iringa","Mseke","sadani A","Sadani 'A'","20002847","No","Yes","None at home for extended amount of time","","Yes","Yes",,,,
"44-86-19-68","Tanzania","Iringa","Iringa","Itunundu","kimande","Mwatenga","20001154","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"99-24-36-43","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Mivinjeni","20002447","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"18-82-63-90","Tanzania","Iringa","Iringa","Wasa","ulata","Mwefu & Nganawasi","20003351","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"86-57-20-12","Tanzania","Iringa","Kilolo","Irole","Ibofwe","Ibofwe & Lutwina","20004937","No","Yes","Household not found","","Yes","Yes",,,,
"38-84-93-57","Tanzania","Iringa","Iringa","Nduli","Mkungugu","Kigasi 'A' & Kigasi 'B'","20003148","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-07-91-33","Tanzania","Iringa","Iringa","Mlowa","MATALAWE","Matalawe","20002652","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"50-08-65-68","Tanzania","Iringa","Iringa","Lumuli","Kibalali","Kibalali","20001948","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"78-04-92-62","Tanzania","Iringa","Kilolo","Boma la Ng'ombe","Lyamuko","Ibumila","20004538","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"52-85-47-82","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003546","No","Yes","Other (Specify)","respondent is not okay mentally","Yes","Yes",,,,
"19-35-88-74","Tanzania","Iringa","Iringa","Itunundu","mbugani","Uwanja wa Ndege 'B'","20001247","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"59-09-71-58","Tanzania","Iringa","Iringa","Wasa","IHOMASA","Vikula","20003447","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"74-51-37-03","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Kihesa Kilolo & Milanzi","20002146","No","Yes","None at home for extended amount of time","","Yes","Yes",,,,
"75-11-11-88","Tanzania","Iringa","Iringa","Lumuli","Kibalali","Kibalali","20001946","No","Yes","Other (Specify)","Household died No member of Household alive","Yes","Yes",,,,
"22-78-28-40","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003352","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-98-64-43","Tanzania","Iringa","Iringa","Lumuli","Lumuli","Kibalali","20001955","No","Yes","None at home for extended amount of time","","Yes","Yes",,,,
"56-29-47-60","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003341","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"82-22-01-30","Tanzania","Iringa","Kilolo","Irole","Ibofwe","Ibofwe & Lutwina","20004936","No","Yes","Household not found","","Yes","Yes",,,,
"15-47-66-05","Tanzania","Iringa","Iringa","Mlowa","matalawe","Matalawe","20002651","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"04-89-61-71","Tanzania","Iringa","Iringa","Lumuli","Lumuli","Kibalali","20001947","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-73-17-40","Tanzania","Iringa","Iringa","Wasa","ULATA","Mwefu & Nganawasi","20003347","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"82-66-58-84","Tanzania","Iringa","Iringa","Mlowa","matalawe","Matalawe","20002653","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"40-67-36-34","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003350","No","Yes","None at home for extended amount of time","","Yes","Yes",,,,
"76-04-73-59","Tanzania","Iringa","Iringa","Mlowa","malizanga","Matalawe","20002647","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-25-35-86","Tanzania","Iringa","Iringa","Lumuli","Lumuli","Kibalali","20001953","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"29-66-30-52","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001148","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"50-37-18-88","Tanzania","Iringa","Iringa","Lumuli","Lumuli","Kibalali","20001949","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-42-00-50","Tanzania","Iringa","Iringa","Nduli","Mkungugu","Kigasi 'A' & Kigasi 'B'","20003143","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-15-10-76","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001143","Yes",,,"",,"No",1,"Representative of the head","Niece","Yes"
"42-39-21-50","Tanzania","Iringa","Iringa","Maguliwa","Mlanda","Ukang'a & Mlanda 'B'","20002241","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-84-86-66","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001145","Yes",,,"",,"No",1,"Head of the household",,"Yes"
