interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4b_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"45-89-04-52",1.53,26.31,1.41,4.92,11.08,2.59,7.7,5.12,27.82,6.64,2.04,5.19,2.189914040114613,2.7,2.57,109.8099140401146,"00.03:26:04",206.0666666666667,"2023-06-27","06:48:41"
"12-50-51-44",2.75,12.42,1.39,4.4,9.869999999999999,3.4,7.28,3.49,26.18,5.09,1.51,18.45,3.04,2.561504297994269,5.41,107.2415042979943,"00.02:09:36",129.6,"2023-06-27","07:37:08"
"64-36-21-26",1.6,15.28954022988506,.9398297872340425,6.02,15.18747126436782,.13,6.093055954088952,5.1,25.85136494252874,7.96,.58,21.408,3.5,1,6.15,116.8092621781046,"00.07:19:10",439.1666666666667,"2023-06-27","07:54:57"
"78-84-99-05",3.1,23.33,.49,4.35,23.85,3.67,7.69,4.93,21.1,7.55,.67,10.81,3.02,2.22,1.94,118.72,"00.02:19:41",139.6833333333333,"2023-06-27","11:55:50"
"37-66-37-12",4.2,9.289999999999999,.49,6.165,17.38,6.085,6.093055954088952,5.06,25.85136494252874,8.58,.9617211948790896,42.49,2.189914040114613,2.561504297994269,3.737280575539568,141.1348410051452,"00.03:07:53",187.8833333333333,"2023-06-27","09:07:14"
"52-54-55-08",2.13,20.4,.9398297872340425,3.05,14.85,6.085,7.41,2.28,38.98,8.07,1.15,28.92,1.63,4.800000000000001,2.55,143.244829787234,"00.01:22:05",82.08333333333333,"2023-06-28","05:19:45"
"32-13-89-08",4.04,19.27,2.105,3.840975609756097,15.18747126436782,3.81,7.9,1.12,32.89,7.16,1.17,17.61,1.5,2.15,5.27,125.0234468741239,"00.02:43:50",163.8333333333333,"2023-06-28","07:48:32"
"85-25-22-09",1.63,8.960000000000001,.99,3.48,17.03,2.99,6.61,3.28,24.6,6.49,.9617211948790896,20.69,2.16,4.800000000000001,5.06,109.7317211948791,"00.01:51:59",111.9833333333333,"2023-06-28","05:30:56"
"72-82-24-11",2.06,15.01,1.18,4.12,18.02,4.36,6.03,3.57,24.93,8.640000000000001,1.39,18.35,2.189914040114613,4.59,6.15,120.5899140401146,"00.01:58:29",118.4833333333333,"2023-06-28","10:11:47"
"36-18-65-12",1.4,12.26,.99,3.78,17.75,.1,5.94,2.38,26.76,6.042600574712644,2.04,14.72,2.92,2.32,3.57,102.9726005747126,"00.02:47:15",167.25,"2023-06-28","09:59:20"
"42-45-66-86",3.39,20.99,1.48,6.165,21.27,5.38,6.97,3.2,25.36,7.16,.64,13.76,2.43,2.29,3.82,124.305,"00.02:08:05",128.0833333333333,"2023-06-28","05:29:19"
"44-14-86-31",2.4,12.42,1.15,4.43,12.6,.07,7.04,3.26,28.87,7.76,.77,11.14,2.189914040114613,4.800000000000001,3.42,102.3199140401146,"00.03:17:01",197.0166666666667,"2023-06-28","07:31:28"
"84-19-29-35",5.145,20.94,2.105,3.840975609756097,24.015,3.75,6.84,2.556551724137931,41.17,8.865,1.03,20.67,2.189914040114613,4.800000000000001,4.5,152.4174413740087,"00.03:31:15",211.25,"2023-06-28","06:20:17"
"39-19-67-67",3.05,22.35,.9398297872340425,3.18,19.6,5.11,5.81,1.15,35.87,7.25,1.32,19.71,2.189914040114613,2.26,3.737280575539568,133.5270244028882,"00.02:32:10",152.1666666666667,"2023-06-28","08:22:18"
"43-82-97-85",5.145,17.95,.87,3.58,19.35,6.085,6.71,5.12,23.68,8.865,.9617211948790896,23.46,2.87,2.74,3.57,130.9567211948791,"00.02:14:22",134.3666666666667,"2023-06-28","07:27:25"
