interview__key,buyers__1,buyers__2,buyers__3,buyers__4,buyers__5,buyers__6,buyers__7,buyers__96,sl_oth_1,cp03__1,cp03__2,cp03__3,cp03__4,cp03__5,cp03__6,cp03__7,cp03__8,cp03__9,cp03__10,cp03__11,cp03__12,cp02__1,cp02__2,cp02__3,cp02__96,cp0_other,markt_output_dist,markt_input_dist,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3
"68-46-66-56",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",2,2,"No","","yes","Yes","Yes","No","No","No","No","Yes"
"30-46-23-21",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",2,2,"No","","yes","No","Yes","No","No","No","No","Yes"
"13-17-41-36",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","",35,35,"No","","no",,,,,,,
"99-55-34-47",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",2,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"82-90-83-43",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",10,10,"No","","no",,,,,,,
"98-51-51-03",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","",10,10,"No","","no",,,,,,,
"10-71-84-42",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",1,1,"No","","no",,,,,,,
"49-18-02-61",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",10,20,"No","","yes","Yes","No","No","No","No","No","Yes"
"58-97-08-64",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","",1,1,"No","","no",,,,,,,
"61-93-54-26",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","",120,80,"No","","no",,,,,,,
"51-95-58-91",1,0,0,0,0,0,0,0,"","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",1.5,1.5,"No","","no",,,,,,,
"32-49-75-13",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",45,45,"No","","no",,,,,,,
"68-39-51-63",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",3,3,"No","","no",,,,,,,
"46-13-75-58",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","came to home",10,10,"No","","yes","No","Yes","No","No","Yes","No","No"
"40-78-00-02",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","",5,5,"No","","no",,,,,,,
"69-63-50-52",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",5,5,"No","","yes","No","Yes","No","No","Yes","No","No"
"20-96-52-92",1,0,0,0,0,0,0,0,"","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","",20,20,"No","","no",,,,,,,
"37-33-23-29",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",20,20,"No","","yes","No","Yes","No","No","Yes","No","No"
"55-09-60-79",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",10,3,"No","","yes","No","Yes","No","No","Yes","No","No"
"13-88-02-80",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",10,10,"No","","no",,,,,,,
"50-55-09-07",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","none",2,2,"No","","no",,,,,,,
"85-93-95-50",1,1,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","",65,60,"No","","yes","No","Yes","No","No","No","No","Yes"
"97-19-27-00",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"60-48-30-05",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","did not transport any",30,30,"No","","no",,,,,,,
"80-01-40-08",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","did not transport any",2,2,"No","","yes","No","Yes","No","No","Yes","No","No"
"29-52-09-79",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",30,30,"No","","no",,,,,,,
"07-76-06-35",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",20,20,"No","","no",,,,,,,
"73-75-27-37",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"99-26-76-45",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","",45,3,"No","","no",,,,,,,
