interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"47-32-93-31","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",40000,"Every three months",1,.a,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"45-06-90-36","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",50000,"Monthly",2,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"04-24-78-04","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",70000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"AGRICULTURE ACTIVITIES"
"16-97-28-87","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",24000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"86-05-40-89","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",15000,"Monthly",1,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"06-02-25-50","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"07-64-12-97","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",32000,"Every three months",1,.a,.a,"Older persons cash transfer","","Local county government","","Cash","",0,1,0,0,0,0,0,0,""
"78-89-03-74","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"29-15-86-87","Savings, interest or other investment income",30000,"Monthly",1,.a,.a,,"",,"",,"",2,1,0,0,0,0,0,0,""
"83-15-50-69","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Monthly",1,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"83-15-50-69","Rental income, residential property (apartment, house)",500000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"96-73-61-56","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",45000,"Every three months",1,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"68-46-53-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every year",1,2,.a,,"",,"",,"",4,1,3,2,0,0,0,0,""
"79-25-63-35","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",130000,"Every three months",1,2,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"15-34-92-71","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",35000,"Lump sum (single payment)",1,.a,.a,"Older persons cash transfer","","Local county government","","Cash","",0,1,0,2,0,0,0,0,""
"15-34-92-71","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",40000,"Every three months",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"28-29-76-59","Savings, interest or other investment income",50000,"Monthly",1,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"29-37-06-51","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"81-06-47-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",92000,"Every three months",1,.a,.a,,"",,"",,"",0,3,1,2,0,0,0,0,""
"81-06-47-80","Rental income, residential property (apartment, house)",35000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"37-31-29-27","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",250000,"Every year",1,.a,.a,,"",,"",,"",1,2,0,3,0,0,0,0,""
"04-80-94-39","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"26-43-59-91","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",60000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"23-72-17-40","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"39-58-22-39","Savings, interest or other investment income",50000,"Every three months",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
