interview__key,r_buyers__id,sl_amt
"10-89-66-70","Brokers/ middleman","More than 80%"
"89-15-58-91","Brokers/ middleman","21-40%"
"78-69-73-93","Direct buyers /open-air market","less than 20%"
"60-73-62-17","Brokers/ middleman","61-80%"
"86-17-31-91","Direct buyers /open-air market","21-40%"
"56-10-85-53","Brokers/ middleman","21-40%"
"65-86-13-71","Brokers/ middleman","61-80%"
"72-38-19-68","Direct buyers /open-air market","More than 80%"
"87-95-06-00","Direct buyers /open-air market","61-80%"
"27-03-96-63","Brokers/ middleman","less than 20%"
"43-65-32-18","Brokers/ middleman","less than 20%"
"93-65-33-33","Brokers/ middleman","21-40%"
"52-85-83-28","Brokers/ middleman","41-60%"
"83-02-65-23","Direct buyers /open-air market","61-80%"
"67-06-10-95","Brokers/ middleman","More than 80%"
"96-49-31-22","Brokers/ middleman","21-40%"
"10-07-11-91","Direct buyers /open-air market","More than 80%"
"37-48-11-93","Direct buyers /open-air market","41-60%"
"37-48-11-93","Brokers/ middleman","41-60%"
"67-06-61-48","Brokers/ middleman","41-60%"
"28-16-54-68","Brokers/ middleman","More than 80%"
"94-91-64-84","Brokers/ middleman","61-80%"
"58-84-03-84","Brokers/ middleman","21-40%"
"41-54-65-45","Brokers/ middleman","More than 80%"
"14-43-79-24","Brokers/ middleman","21-40%"
"06-98-04-04","Direct buyers /open-air market","21-40%"
"48-67-43-42","Brokers/ middleman","41-60%"
"97-29-47-65","Brokers/ middleman","41-60%"
"74-85-56-04","Brokers/ middleman","21-40%"
"37-89-69-52","Direct buyers /open-air market","41-60%"
"02-51-86-61","Direct buyers /open-air market","less than 20%"
"49-82-95-52","Direct buyers /open-air market","21-40%"
"30-40-96-29","Direct buyers /open-air market","21-40%"
"57-67-24-08","Direct buyers /open-air market","61-80%"
"51-50-93-36","Brokers/ middleman","21-40%"
"90-76-57-66","Direct buyers /open-air market","21-40%"
"69-63-24-75","Brokers/ middleman","less than 20%"
"98-67-98-63","Brokers/ middleman","21-40%"
"27-72-61-17","Others ➡️ Specify","41-60%"
"37-84-88-65","Brokers/ middleman","21-40%"
"53-19-96-03","Direct buyers /open-air market","More than 80%"
"83-97-00-24","Brokers/ middleman","less than 20%"
"46-19-90-07","Brokers/ middleman","21-40%"
"17-42-40-28","Brokers/ middleman","61-80%"
"45-79-64-22","Brokers/ middleman","21-40%"
"13-96-72-87","Brokers/ middleman","21-40%"
"13-96-72-87","Large-scale commercial farmers","More than 80%"
"35-00-29-50","Direct buyers /open-air market","41-60%"
"62-32-74-83","Brokers/ middleman","More than 80%"
"81-19-19-51","Brokers/ middleman","More than 80%"
"49-37-92-04","Brokers/ middleman","41-60%"
"21-55-58-12","Direct buyers /open-air market","21-40%"
"93-06-19-65","Brokers/ middleman","41-60%"
"11-66-34-17","Direct buyers /open-air market","21-40%"
