interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"44-14-86-31",2,"No",,"No","No intention to migrate",,"",,,,,,
"84-19-29-35",1,"No",,"No","No intention to migrate",,"",,,,,,
"84-19-29-35",2,"No",,"No","No intention to migrate",,"",,,,,,
"84-19-29-35",3,"Yes","No","No",,,"",2020,2023,,,,
"39-19-67-67",1,"No",,"No","No intention to migrate",,"",,,,,,
"39-19-67-67",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-19-67-67",3,"No",,"No","Yes temporarily migrate","village outside region","",,,,,,
"39-19-67-67",4,"Yes","Yes","Yes",,,"",2022,2022,10,2,0,
"39-19-67-67",5,"Yes","Yes","No",,,"",2023,2023,6,1,0,
"43-82-97-85",1,"No",,"No","No intention to migrate",,"",,,,,,
"43-82-97-85",2,"No",,"No","No intention to migrate",,"",,,,,,
"91-14-48-53",1,"No",,"No","No intention to migrate",,"",,,,,,
"91-14-48-53",2,"No",,"No","No intention to migrate",,"",,,,,,
"91-14-48-53",3,"No",,"No","No intention to migrate",,"",,,,,,
"91-14-48-53",4,"No",,"No","No intention to migrate",,"",,,,,,
"91-14-48-53",5,"No",,"No","No intention to migrate",,"",,,,,,
"91-14-48-53",6,"No",,"No","No intention to migrate",,"",,,,,,
"20-26-28-94",1,"Yes","No","Yes",,,"",2018,2023,,,,
"20-26-28-94",2,"No",,"No","No intention to migrate",,"",,,,,,
"20-26-28-94",3,"No",,"No","No intention to migrate",,"",,,,,,
"20-26-28-94",4,"No",,"No","No intention to migrate",,"",,,,,,
"20-26-28-94",5,"No",,"No","No intention to migrate",,"",,,,,,
"23-89-23-81",1,"No",,"No","No intention to migrate",,"",,,,,,
"23-89-23-81",2,"No",,"No","No intention to migrate",,"",,,,,,
"23-89-23-81",3,"No",,"No","No intention to migrate",,"",,,,,,
"23-89-23-81",4,"No",,"No","Don’t know",,"",,,,,,
"23-89-23-81",5,"No",,"No","No intention to migrate",,"",,,,,,
"23-89-23-81",10,"Yes","Yes","No",,,"",2022,2022,10,2,0,
"52-40-25-11",1,"No",,"No","No intention to migrate",,"",,,,,,
"52-40-25-11",2,"No",,"No","No intention to migrate",,"",,,,,,
"52-40-25-11",3,"No",,"No","No intention to migrate",,"",,,,,,
"52-40-25-11",4,"No",,"No","No intention to migrate",,"",,,,,,
"52-40-25-11",5,"No",,"No","No intention to migrate",,"",,,,,,
