interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"95-71-45-18",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 50s",2,2
"95-71-45-18",2,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Women","Hehe","","In their 50s",3,3
"95-71-45-18",3,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 40s",25,25
"43-23-29-59",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 40s",2,2
"43-23-29-59",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 60s",20,20
"43-23-29-59",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Bena","","In their 50s",4,4
"65-07-52-31",1,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 30s",15,1
"65-07-52-31",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",4,0
"65-07-52-31",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 50s",20,3
"24-72-94-40",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Hehe","","In their 50s",2,2
"24-72-94-40",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 20s",28,5
"24-72-94-40",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 50s",5,5
"27-52-71-52",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",5,0
"27-52-71-52",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",1,0
"27-52-71-52",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","mkinga","In their 60s",8,3
"21-67-72-81",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 30s",3,3
"21-67-72-81",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 50s",3,3
"21-67-72-81",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 30s",5,5
"40-08-15-69",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 60s",15,8
"40-08-15-69",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Hehe","","In their 60s",28,0
"40-08-15-69",3,"No","No","No","No","No","Yes","Yes","No","Yes","No","No","No",,"Women","Hehe","","In their 40s",20,5
"40-09-03-46",1,"Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",0,0
"40-09-03-46",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",2,0
"40-09-03-46",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Hehe","","In their 50s",20,0
"88-78-79-65",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",0,0
"88-78-79-65",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other, Specify","ndengereko","In their 40s",5,0
"88-78-79-65",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",3,0
"72-36-26-24",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",10,10
"72-36-26-24",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",10,5
"72-36-26-24",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 60s",5,4
"07-13-49-69",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",2,0
"07-13-49-69",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Bena","","In their 60s",5,0
"07-13-49-69",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",2,0
"02-58-47-09",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",8,1
"02-58-47-09",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 60s",4,0
"22-68-37-41",1,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Men","Hehe","","In their 30s",5,0
"22-68-37-41",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",3,5
