interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"22-57-11-64",3,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"16-16-37-56",2,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"90-41-66-63",6,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"86-61-37-71",4,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"51-98-81-10",5,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"86-70-80-56",4,"Iron sheets","","Other➡️ Please specify","bricks with mud","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"61-70-60-57",5,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"28-51-95-56",5,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Protected (borehole protected well public taps rain water)","","VIP latrine",""
"51-09-05-08",2,"Iron sheets","","Bricks with cement","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"35-94-61-77",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"36-72-98-05",3,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Uncovered pit latrine",""
"40-64-72-16",3,"Thatched grass","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"98-62-02-19",5,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"23-24-36-18",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"88-50-89-00",1,"Thatched grass","","Grass","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"25-45-17-13",2,"Thatched grass","","Grass","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"83-60-66-04",2,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Sand","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"20-14-81-13",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
