interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"62-44-56-00","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Slightly worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"35-05-05-79","Strongly agree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Disagree","Disagree","trust","strongly trust","distrust","trust","strongly distrust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Worried"
"00-88-32-67","Indifferent (neither nor)","Strongly agree","Agree","Agree","Disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"65-77-01-81","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"68-46-66-56","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","strongly trust","strongly trust","trust","strongly trust","indifferent","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"30-46-23-21","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Disagree","Strongly disagree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Strongly disagree","Strongly disagree","trust","strongly trust","indifferent","trust","trust","Not at all worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Worried","Worried","Not at all worried","Not at all worried"
"13-17-41-36","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"99-55-34-47","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Not at all worried","Worried","Worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"82-90-83-43","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Not at all worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"98-51-51-03","Agree","Agree","Agree","Disagree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","strongly trust","strongly trust","strongly trust","trust","trust","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Not at all worried"
