interview__key,lndprep__1,lndprep__2,lndprep__3,lndprep__4,cp021__1,cp021__2,cp021__3,cp021_source__1,cp021_source__2,cp021_source__3,cp021_source__4,cp021_source__5,cp021_source__6,cp021_source__96,cp021_source_other,cp_plantdays,cp_weedays,cp_hvstdays,cp_lbrdays,irr_train,cp026__1,cp026__2,cp026__3,cp026__4,cp026__5,cp026__6,cp026__7,cp026__96,cp026_oth,cp028,cp028_inst__1,cp028_inst__2,cp028_inst__3,cp028_inst__4,cp028_inst__5,cp028_inst__6,cp028_inst__7,cp029,cp030,cp031,cp032,crop_residue__1,crop_residue__2,crop_residue__3,crop_residue__4,crop_residue__5,crop_residue__96
"91-14-48-53",0,1,0,0,"Yes","No","Yes","No","No","Yes","No","No","No","No",,6,9,10,25,1,"Yes","Yes","No","No","No","No","No","No",,,,,,,,,,,,,,0,1,0,0,0,0
"20-26-28-94",0,0,1,0,"Yes","No","No",,,,,,,,,2,21,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"23-89-23-81",0,1,0,0,"Yes","Yes","No",,,,,,,,,7,10,7,0,2,"Yes","No","No","No","No","No","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"52-40-25-11",1,0,0,1,"Yes","No","No",,,,,,,,,13,8,8,6,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"58-44-00-29",0,1,0,0,"Yes","No","No",,,,,,,,,2,1,1,1,1,"Yes","Yes","Yes","No","Yes","Yes","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"94-81-60-01",0,1,0,0,"Yes","No","No",,,,,,,,,10,18,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"00-76-76-29",0,1,0,0,"Yes","No","No",,,,,,,,,9,4,5,4,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"30-24-92-73",0,1,0,0,"Yes","No","No",,,,,,,,,6,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"23-53-41-46",0,1,0,0,"Yes","No","No",,,,,,,,,2,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"62-55-13-64",0,1,0,0,"Yes","No","No",,,,,,,,,4,7,2,9,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
