interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"96-07-74-28","Medicinal plants",10,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deforestation"
"96-07-74-28","Tea leaves",2,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Overgrazing"
"13-42-68-56","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"The same","Massive decrease","",""
"13-42-68-56","Wild fruits",1,"Debe","","No",,,"",,,"No",,"The same","Slight decrease","",""
"13-42-68-56","Mushrooms",2,"Debe","","No",,,"",,,"No",,"The same","Slight decrease","",""
"78-89-03-74","Firewood",20,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"29-15-86-87","Firewood",96,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"29-15-86-87","Wild fruits",2,"Liters","","No",,,"",,,"No",,"The same","The same","",""
"83-15-50-69","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"83-15-50-69","Wild fruits",1,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"96-73-61-56","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"The same","Massive decrease","",""
"96-73-61-56","Wild fruits",3,"Debe","","No",,,"",,,"No",,"The same","Massive decrease","",""
"96-73-61-56","Mushrooms",1,"Debe","","No",,,"",,,"No",,"The same","Massive decrease","",""
"96-73-61-56","Honey",1,"Liters","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","burning of forest"
"68-46-53-43","Firewood",40,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","local government law not allowed to cut trees"
"65-84-91-55","Firewood",80,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFOTRESTATION"
"79-25-63-35","Firewood",162,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase endangers firewood availability"
"79-25-63-35","Wood for charcoal production",50,"Numbers","","Yes",8,"Numbers","","Yes",10000,"No",,"Slight decrease","Massive decrease","","law enforces to avoid cutting down trees"
"79-25-63-35","Sand, stone, mud",4,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"79-25-63-35","Wild fruits",10,"Debe","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","drought"
"79-25-63-35","Medicinal plants",5,"Kilograms","","No",,,"",,,"No",,"The same","Slight decrease","",""
"80-29-04-22","Firewood",50,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"15-34-92-71","Firewood",80,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increased population"
"15-34-92-71","Medicinal plants",5,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"28-29-76-59","Firewood",144,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"26-01-09-21","Firewood",104,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"29-37-06-51","Firewood",162,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight decrease","",""
"29-37-06-51","Timber or poles",40,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","increased population indemand of the poles"
"29-37-06-51","Medicinal plants",2,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"81-06-47-80","Firewood",192,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"81-06-47-80","Wild fruits",2,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"81-06-47-80","Mushrooms",2,"Debe","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"65-79-07-96","Firewood",156,"Bunches","","No",,,"",,,"No",,"Slight decrease","The same","","deforestation"
"65-79-07-96","Wild fruits",5,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation"
"65-79-07-96","Medicinal plants",2,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation"
"65-79-07-96","Tea leaves",1,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"10-31-70-66","Firewood",120,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","increase number of people"
"32-61-55-41","Firewood",108,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"32-61-55-41","Wild fruits",2,"Basins","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","people have cut down  trees"
"33-65-05-28","Firewood",96,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"37-31-29-27","Firewood",20,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"13-98-20-22","Firewood",150,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"13-98-20-22","Mushrooms",2,"Debe","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"04-80-94-39","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","agriculture activities"
"28-75-01-80","Firewood",52,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","people obtain documents for their farm , so if they found out cut tree in their area it a case"
