country,interview_key,district,respondant_relation_to_head,members_id,gender,relation_to_head,age,education_level,farm_empl_last_12_months,farm_empl_cash_crops_days_per_week,farm_empl_cash_crops_hours_per_day,farm_empl_food_crops_days_per_week,farm_empl_food_crops_hours_per_day,farm_empl_crops_years_experience_in_years,farm_empl_livestock_years_experience_in_years,sector_off_farm_empl_last_12_months,empl_type,self_empl_duration_in_months,self_empl_days_per_week,self_empl_hours_per_day,self_empl_motivation_others_success,self_empl_motivation_unemployment,self_empl_motivation_insufficient_income_1,self_empl_motivation_insufficient_income_2,self_empl_motivation_insufficient_income_3,self_empl_motivation_inherited_business,self_empl_years_experience_in_years,wage_empl_location,wage_empl_type,wage_empl_permament_wage_per_month,wage_empl_permament_days_per_week,wage_empl_permament_hours_per_day,wage_empl_seasonal_wage,wage_empl_seasonal_duration_days_per_week,wage_empl_seasonal_duration_hours_per_day,wage_empl_contract_status,beans_allocated_to_empl_occupation,aspired_occupation_5_years_ahead,aspiration_continue_farming,agriculture_loan_last_5_years,agriculture_loan_amount,most_common_child_aspiration,land_cropland_ownership_status,market_output_distance_in_km,crop_contract,subsidy,enumeration_area,region,personal_id
Botswana,12-68-96-23,Chobe District,,1,Male,Self/Head,29.0,Form 5,No,,,,,,,Security services,Employee,,,,,,,,,,,In this village,Permanent,4100,4.0,15.0,,,,Part-time contract,5.0,Livestock keeping/raising,Continue to farming,No,,Likely,,,,,,,Botswana_12-68-96-23_1
Botswana,46-89-61-94,Chobe,,1,Female,Self/Head,66.0,Form 2,No,,,,,,,"Others, specify",Self-employed/own business,96.0,7.0,13.0,No,Yes,No,No,No,No,8,,,,,,,,,,0.0,Crop farming/cultivation,Not engaged in farming,No,,Likely,Communally owned,,,,,,Botswana_46-89-61-94_1
Botswana,36-57-98-87,Chobe,,1,Female,Self/Head,64.0,Standard 7,Yes,,,,,0.0,1.0,Retail trade,Self-employed/own business,2.0,5.0,7.0,No,Yes,No,No,No,No,2,,,,,,,,,,5.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,"Maybe, maybe not",Co-share/ co-farming,,,,,,Botswana_36-57-98-87_1
Botswana,93-61-95-87,Chobe,,1,Female,Self/Head,59.0,Standard 3,No,,,,,,,"Hospitality (e.g., Accommodation &amp; Lodging )",Self-employed/own business,12.0,7.0,0.0,No,No,No,No,No,No,1,,,,,,,,,,5.0,Both crop and livestock/fish farming,Both,No,,Very likely,Private owned with land title,0.0,Yes,No,,,Botswana_93-61-95-87_1
Botswana,72-10-49-63,CHOBE DISTRICT,Spouse,2,Female,Wife/Husband,43.0,University level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Crop farming/cultivation,Continue to farming,No,,,,,,,,,Botswana_72-10-49-63_2
Botswana,65-98-70-74,Chobe,Spouse,1,Female,Wife/Husband,46.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Crop farming/cultivation,Continue to farming,No,,Likely,,,,,,,Botswana_65-98-70-74_1
Botswana,85-23-91-16,Chobe,,1,Male,Self/Head,41.0,Form 4,Yes,,,1.0,,15.0,10.0,"Others, specify",Self-employed/own business,24.0,5.0,8.0,No,Yes,Yes,No,No,No,I don't know,,,,,,,,,,10.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Both,No,,,Communally owned,1.0,No,Yes,,,Botswana_85-23-91-16_1
Botswana,53-06-23-41,chobe,,1,Male,Self/Head,37.0,Form 3,No,,,,,,,Security services,Employee,,,,,,,,,,,In this village,Permanent,2000,7.0,12.0,,,,Long term permanent contract,5.0,Government officers/employees/ civil servant,Continue to farming,No,,"Maybe, maybe not",,100.0,Yes,No,,,Botswana_53-06-23-41_1
Botswana,68-84-82-12,Chobe,,1,Female,Self/Head,67.0,No formal education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Crop farming/cultivation,Continue to farming,No,,Likely,Communally owned,1.0,No,No,,,Botswana_68-84-82-12_1
Botswana,25-99-22-65,chobe,,1,Female,Self/Head,45.0,Form 2,No,,,,,,,"Others, specify",Self-employed/own business,5.0,0.0,0.0,No,Yes,No,No,No,No,3,,,,,,,,,,5.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Continue to farming,No,,Likely,,,,,,,Botswana_25-99-22-65_1
