interview__key,contact_ref_1_rel,contact_ref_2_rel
"87-29-60-32","Friend","Neighbour"
"59-04-53-64","Brother In Law","Neighbour"
"82-68-38-51","Daughterq","Daughter"
"64-96-99-21","Neighbour","Neighbour"
"36-02-93-74","Neighbour","Daughter"
"56-43-23-52","Son","Son"
"42-33-55-75","Village Leader","Neighbour"
"67-03-64-23","Neighbour","Neighbour"
"34-93-29-30","Village Leader","Neighbour"
"74-55-51-40","Neighbour","Sister"
"64-62-65-29","Village Headman","Neighbour"
"30-54-31-50","Neighbour","Neighbour"
"42-02-08-83","Self Head","Neighbour"
"04-71-60-91","Village Headman","Neighbour"
"37-15-67-95","Neighbour","Neighbour"
"42-23-71-10","Neighbour","Neighbour"
"50-11-26-74","Village","Brother"
"41-04-96-60","Village Leader","Neighbour"
"64-11-10-98","Mother In Law","Neighbour"
"57-81-30-05","Step Mother","Neighbour"
"88-77-78-80","Relative","Neighbour"
"50-74-95-60","Village Headman","Neighbour"
"99-69-07-36","Village Leader","Neighbour"
"94-52-87-82","Self Head","Wife"
"36-65-12-21","Relative","Relative"
"97-41-99-18","Neighbour","Neighbour"
"90-57-88-40","Mca","Father"
"38-86-39-27","Neighbour","Neighbour"
"03-07-08-19","Wife","Neighbour"
"72-39-10-40","Neighbour","Relative"
"06-58-90-91","Neighbour","Neighbour"
"20-64-53-81","Neighbour","Neighbour"
"64-24-49-94","Neighbour","Neighbour"
"84-08-92-59","Neighbour","Neighbour"
"80-92-01-63","Village Elder","Neighbour"
"39-04-13-87","Neighbour","Neighbour"
"12-81-58-78","Brother","Neighbour"
"07-91-23-12","Relative","Village Elder"
"46-43-23-18","Village Head","Neighbour"
"48-70-52-60","Uncle","Friend"
"64-66-30-53","Village Elder","None"
"07-19-59-75","Neighbour","Neighbour"
"03-69-84-05","Neighbour","Head Man"
"55-07-48-89","Neighbour","Village Headman"
"84-64-87-37","Neighbour","Neighbor"
"01-15-12-42","Neighbour","Daughter"
"99-30-86-99","Son","Neighbour"
"43-03-84-96","Brother","Brother"
"16-96-89-30","Relative","Relative"
"26-40-62-78","Neighbour","Neighbour"
"45-82-95-63","Brother","Mother"
"19-12-89-41","Village Elder","Neighbour"
"86-61-90-88","Daughter Inlaw","Neighbour"
"01-74-93-41","Friend","Relative"
"38-25-54-65","Father","Neighbour"
"21-70-86-32","Neighbour","Neighbour"
"02-81-96-02","Father","Brother"
"54-34-58-95","Village Headman","Neighbour"
"76-19-75-88","Village Leader","Neighbour"
"66-74-73-77","Neighbour","Village Leader"
"08-37-41-83","Friend","Friend"
"68-02-84-17","In Law","Friend"
"75-80-31-44","Mother","Brother"
"27-87-86-78","Son","Friend"
"69-86-48-74","Neighbour","Village Elder"
"71-45-11-71","Neighbour","Relative"
"04-56-93-47","Neighbour","Neighbour"
"48-20-93-40","Neighbour","Brother"
"77-28-28-65","Himself","Neighbour"
"11-74-52-10","Neighbour","Neighbour"
"15-73-69-92","Neighbour","Neighbour"
"18-25-85-30","None","None"
"97-74-49-80","Neighbour","Neighbour"
"65-28-28-23","Brother","Neighbour"
"60-02-55-31","Neighbour","Brother"
"82-11-02-31","Neighbour","Neighbour"
"57-80-52-25","Relative","Neighbour"
"72-15-05-10","Village Head","Neighbour"
"74-51-85-05","Neighbour","Neighbour"
"86-09-61-31","Sister","Neighbour"
"93-25-93-51","Neighbour","Relative"
"46-18-65-43","Neighbour","Neighbour"
"04-39-31-02","Farmers Chairman","Pastor"
"95-71-10-81","Neighbour","Neighbour"
"12-15-65-08","Neighbour","Neighbour"
"44-29-85-16","Care Giver","Neighbour"
"71-69-40-35","Son","Neighbour"
"06-79-89-11","Neighbour","Neighbour"
"21-46-83-44","Neighbour","Neighbour"
"53-46-63-99","Neighbour","Relative"
"92-47-39-90","Neighbour","Neighbour"
"48-13-13-53","Self Head","Wife"
"22-45-98-08","Self Head","Neighbour"
"05-13-82-78","Village Leader","Son"
"38-34-24-20","Neighbour","Friend"
"95-32-48-88","Village Leader","Neighbour"
"38-26-85-56","Brother","Friend"
"14-26-58-26","Neighbour","Neighbour"
"98-72-74-27","Brother","Neighbour"
"71-71-39-84","Self Head","Friend"
"22-94-31-61","Neighbour","Neighbour"
"76-87-83-96","Neighbour","Neighbour"
"76-33-66-65","Head Man","Neighbour"
"20-69-31-32","Village Head","Relative"
"32-73-67-08","Brother","Neighbour"
"52-15-60-99","Father In Law","Friend"
"82-73-01-57","Son","Neighbour"
"89-62-46-70","Mother Inlaw","Father"
"54-18-77-83","Neighbour","Neighbour"
"54-86-93-60","Relative","Daughter"
"33-07-96-51","Brother In Law","Son"
"10-60-87-78","Village Elder","Neighbour"
"60-37-22-12","Neighbour","Friend"
"65-07-81-76","Brother","None"
"94-01-94-60","Village Elder","Neighbour"
"26-94-35-48","Son","Friend"
"34-70-02-31","Neighbour","Village Headman"
"04-31-65-65","Village Elder","Relative"
"95-85-00-75","None","Cousin"
"41-04-08-56","Relative","Neighbour"
"36-17-00-87","Neighbour","Neighbour"
"05-33-40-10","Village Elder","Neighbour"
"27-67-11-74","Neighbour","Neighbour"
"42-16-66-43","Self Head","Friend"
"07-13-95-29","Father","Brother"
"96-93-55-42","Relative","Daughter"
"35-46-21-62","Relative","Sister Inlaw"
"40-51-79-00","Village Age","Relative"
"80-05-91-55","Friend","Neighbour"
"59-22-24-47","Area Chief","Mother"
"78-46-05-26","Neighbour","Neighbour"
"01-54-87-19","Friend","Friend"
"64-06-48-62","Neighbour","Neighbour"
"21-65-85-03","Neighbour","Neighbour"
"03-81-70-83","Village Head","Neighbour"
"22-43-82-01","Village Elder","Brother"
"40-89-32-79","Village Head","Relative"
"94-65-34-20","Self Head","Wife"
"17-73-42-21","Son","Son"
"86-29-59-93","Neighbour","Neighbour"
"88-87-27-22","Village Age","Neighbour"
"17-95-26-62","Village Elder","Neighbour"
"86-23-74-18","Friend","Neighbour"
"69-47-17-72","Relative","Npne"
"77-46-09-31","Son","Daughter"
"97-62-36-16","Neighbour","Friend"
"39-46-61-12","Son","Son"
"51-78-77-10","Neighbour","Neighbour"
"95-19-67-91","Brother","Relative"
"90-10-35-11","Son","Brother"
"43-53-25-48","Brother","Step Mother"
"91-87-02-88","Neighbour","None"
"54-62-08-69","Friend","N3ighbour"
"37-56-30-78","Neighbour","Neighbour"
"08-23-42-65","Neighbour","Neighbour"
"59-85-68-42","Neighbour","Neighbour"
"84-09-48-58","Daughter","None"
"75-58-20-42","Friend","Neighbour"
"00-68-70-04","Brother","Cousin"
"51-54-98-03","Father","Neighbour"
"90-58-96-49","Daughter","Daughter"
"07-07-62-62","Brother","Neighbour"
"26-08-54-15","Neighbour","Neighbour"
"98-80-86-00","Neighbour","Neighbour"
"19-36-93-83","Neighbour","Relative"
"39-74-73-78","Neighbour","Neighbour"
"73-63-00-42","Neighbour","Village Age"
"15-80-74-06","Village Head","Neighbour"
"40-74-32-61","Brother In Law","Uncle"
"95-10-30-55","Village Headman","Neighbour"
"93-89-51-75","Village Head","Relative"
"75-95-38-57","Son","Son"
"34-96-82-10","Neighbour","Village Elder"
"90-41-75-26","Neighbour","Friend"
"93-64-37-20","Neighbour","Neighbour"
"91-66-07-16","Brother","Friend"
"60-51-83-59","Son","Neighbour"
"76-32-07-05","Village Elder","Area Chief"
"16-40-92-10","Neighbour","Neighbour"
"24-75-24-45","Village Headman","Neighbour"
"93-05-25-38","Neighbour","Neighbour"
"59-77-15-06","Self Head","Daughter"
"43-11-20-48","Uncle","Sister"
"38-02-62-89","Village Leader","Neighbour"
"21-01-77-10","Daughter","Son"
"81-78-91-05","Friend","Brother In Law"
"47-09-64-37","Village Leader","Neighbour"
"34-25-65-08","Neighbouur","Brother"
"86-44-30-89","Village Leader","Neighbour"
"74-03-89-65","Neighbour","Village  Head"
"56-65-93-48","Brother","Chief"
"66-39-11-55","Neighbour","Sister In Law"
"14-03-04-43","Neighbour","Neighbour"
"27-47-38-04","Neighbour","Neighbour"
"43-92-12-14","Neighbour","Neighbour"
"05-86-89-30","Neighbour","Friend"
"84-33-11-24","Father","Neighbour"
"79-96-52-99","Neighbour","Neighbour"
"27-91-30-19","Village Elder","Relative"
"49-11-32-04","Daughter","Son"
"88-01-30-83","Neighbour","Neighbour"
"53-42-52-41","Village Elder","Son"
"18-88-95-82","Village Elder","Neighbour"
"44-20-34-87","Neighbour","Neighbour"
"62-58-98-18","Sister","Neighbour"
"10-26-36-54","Sister In Law","Neighbour"
"97-96-81-02","Relative","Neighbour"
"29-40-66-47","Friend","Brother"
"18-40-35-80","Brother","Neighbour"
"79-71-02-69","Village Headman","Chief"
"25-22-65-60","Neighbour","Neighbour"
"89-59-08-73","Neighbour","Relative"
"91-40-38-85","Neighbour","Neighbour"
"17-33-53-75","Sister","Neighbour"
"48-20-09-62","Son","Son"
"29-88-28-45","Village Elder","Relative"
"92-61-60-00","Neighbour","Neighbour"
"98-05-61-12","Neighbour","Neighbour"
"49-80-41-29","Self Head","Relative"
"56-67-61-31","Brother","Neighbour"
"93-39-60-64","Neighbour","Neighbour"
"75-50-72-64","Wife","Brother"
"13-68-33-58","Neighbour","Neighbour"
"67-51-21-12","Neighbour","Relative"
"92-63-14-10","Village Elder","Neighbour"
"23-95-53-31","Daughter","Relative"
"76-83-42-25","Father","Mother"
"34-04-41-33","Neighbour","Friend"
"65-40-10-81","Neighbour","Village Elder"
"32-27-90-36","Neighbour","Sister"
"34-35-99-68","Village Head","Friend"
"96-83-30-59","Village Elder","Brother"
"08-93-39-25","Head Man","Brother"
"70-80-52-20","Neighbour","Heads Other Contact Number"
"98-33-69-97","Son","Daughter"
"72-65-40-82","Village Elder","Neighbour"
"28-81-45-53","Father","Friend"
"06-80-46-73","Son","Neighbour"
"09-02-42-42","Neighbour","Neighbour"
"16-61-64-98","Father","Mother"
"29-61-04-95","Son","Son"
"39-38-75-31","Village Elder","Neighbour"
"49-39-29-75","Neighbour","Neighbour"
"30-17-77-88","Grandchild","Village Head"
"29-08-77-29","Relative","Neighbour"
"69-05-41-80","Village Elder","Brother"
"21-49-13-73","Self Head","Friend"
"75-38-27-75","Relative","Daughter"
"14-85-47-22","Neighbour","Head Man"
"53-81-07-04","Relative","Neighbour"
"65-80-02-03","Neighbour","Neighbour"
"69-30-60-03","Neighbour","Village  Head"
"21-15-99-40","Neighbour","Neighbour"
"44-56-27-24","Neighbour","Village Head"
"75-37-22-90","Village Leader","Daughter"
"67-01-06-94","Village Elder","None"
"04-57-01-84","Husband","Village Elder"
"53-87-70-93","Neighbour","Neighbour"
"89-42-22-50","Neighbour","Neighbour"
"41-64-40-11","Relative","Relative"
"89-49-22-36","Brother","Cousin"
"20-63-38-57","Village Elder","Friend"
"84-72-64-66","Neighbour","Village Elder"
"63-42-88-22","Neighbour","Neighbour"
"22-88-22-30","Sister Inlaw","Head Man"
"27-50-41-80","Neighbour","Neighbour"
"87-50-20-38","Neighbour","Relative"
"78-63-95-63","Self Head","Wife"
"21-75-94-85","Relative","Neighbour"
"20-46-30-59","Neighbour","Neighbour"
"12-17-56-74","Son","Daughter"
"80-41-60-05","Grandmother","Mother"
"50-77-28-73","Chief","Neighbour"
"42-38-30-13","Village Headman","Neighbour"
"05-33-62-23","Village Head","Neighbour"
"17-87-80-73","Neighbour","Neighbour"
"73-58-06-14","Neighbour","Neighbour"
"22-13-82-99","Neighbour","Neighbour"
"49-72-13-69","Head Man","Neighbour"
"72-23-50-93","Village Head","Neighbour"
"24-20-09-18","Neighbour","Relative"
"02-65-40-62","Relative","Friend"
"65-04-66-76","Relative","Relative"
"87-33-92-13","Neighbour","Friend"
"61-75-70-64","Son","Kitur"
"23-31-62-51","Himself","Village Leader"
"95-05-18-77","Brother","Sister"
"87-43-52-74","Neighbour","Daughter"
"61-21-03-67","Village Headman","Neighbour"
"72-29-78-52","Neighbour","Son"
"11-76-72-18","Village Elder","Neighbour"
"97-14-88-73","Neighbour","Relative"
"68-19-50-42","Village Leader","Neighbour"
