interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"02-47-29-85",6400,14000,2400,9600,0,0,0,0
"91-34-05-43",,,,,,,,
"29-34-28-44",,,,,,,,
"54-07-56-18",,,,,,,,
"02-67-98-73",12500,0,0,12000,10000,0,400,0
"89-44-00-22",,,,,,,,
"25-47-42-18",,,,,,,,
"92-95-45-69",2000,0,0,0,5000,0,0,0
"25-17-75-96",,,,,,,,
"08-10-28-09",,,,,,,,
"63-11-66-98",,,,,,,,
"90-89-89-25",3650,14400,10000,10000,5000,0,800,2000
"01-16-33-75",1200,0,0,0,3000,0,0,0
"37-73-98-41",,,,,,,,
"48-88-82-47",,,,,,,,
"44-96-14-86",50000,35000,20000,15000,0,0,0,0
"47-83-83-86",4800,7000,2500,5000,3000,0,1000,1000
"79-40-96-41",,,,,,,,
"60-73-28-03",200,0,0,0,0,0,0,0
"79-90-62-68",1700,0,1000,0,600,0,600,0
"67-12-09-24",,,,,,,,
"63-23-35-27",,,,,,,,
"04-92-66-81",1500,0,0,1500,0,0,0,0
"93-87-16-02",,,,,,,,
"65-31-14-31",,,,,,,,
"19-27-66-46",520,0,0,0,0,0,300,0
"08-44-37-94",,,,,,,,
"71-04-48-02",,,,,,,,
"24-04-95-50",,,,,,,,
"27-66-11-12",,,,,,,,
"11-10-12-08",,,,,,,,
"10-98-84-98",3000,0,0,1500,0,0,0,0
"97-63-71-09",,,,,,,,
"11-29-74-23",,,,,,,,
"59-89-68-30",1680,0,0,6000,9000,0,2000,500
"22-38-73-99",,,,,,,,
"81-45-95-70",10000,0,0,9000,60000,0,0,0
"16-03-96-06",8000,0,0,7000,0,0,0,0
"81-14-42-85",,,,,,,,
"22-88-97-60",,,,,,,,
"47-75-71-27",,,,,,,,
"10-39-00-99",1500,0,0,1500,0,0,0,0
"96-06-62-42",,,,,,,,
"11-59-44-40",,,,,,,,
"27-51-81-61",,,,,,,,
"44-37-52-83",,,,,,,,
"45-92-75-89",,,,,,,,
