interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"25-17-75-96","Acres","",1,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"Yes",1,"Yes","No","No","No",,0,"Slight decrease","Massive decrease","Yes",15000,"Cooperative Trader/trade store","",1,"Yes","cultivation"
"08-10-28-09","Acres","",0,.5,0,0,1,0,0,,"Communally owned",,,"Communally owned",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","Due to lack of funds"
"63-11-66-98","Acres","",0,1,0,0,1,0,0,,"Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"No","Due to lack of funds"
"90-89-89-25","Acres","",1,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Within family","","Clan / Elder","","Yes","Maybe, maybe not","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No",,"Yes",1,"Yes","No","No","No",,10,"Slight decrease","Slight decrease","No",,,"",1,"Yes","expand farming"
"01-16-33-75","Acres","",.5,0,0,0,3,0,0,"Communally owned",,,,"Co-share/ co-farming",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"No","lack of resources to purchase"
"37-73-98-41","Acres","",0,0,0,0,.5,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","for future generations"
"48-88-82-47","Acres","",0,0,0,0,1,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"Yes","I need an extra plot so that after school I have to get married and built that plot"
"44-96-14-86","Acres","",3,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Within family","","Magistrate","","No","Maybe, maybe not","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","Massive increase","No",,,"",1,"Yes","for continuity of our development as a family like doing more farming"
"47-83-83-86","Acres","",3,2,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Likely","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","do farming"
"79-40-96-41","Acres","",0,0,0,0,.5,0,0,,,,,"Leased/rented",,,"Yes","Other individuals","","Village headman / chairperson","","No","Likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","to acquire land for crop cultivation and livestock rearing also for residential. the land shes currently residing on was given by a friend, the land they owned previously is submerged in lake baringo"
"60-73-28-03","Acres","",.5,.5,0,0,.5,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",1,"Yes","No","Yes","No",,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","For future use"
"79-90-62-68","Acres","",.5,0,0,10,.25,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,10,"Slight decrease","Massive decrease","No",,,"",1,"Yes","acquire land in an area with sufficient water"
"67-12-09-24","Acres","",0,0,0,4,.5,0,0,,,,"Private owned with no land title","Private owned with no land title",,,"No",,"",,"",,"Likely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"No","one I have is enough"
"63-23-35-27","Acres","",0,0,0,0,1,0,0,,,,,"Private owned with no land title",,,"Yes","Within family","","Village headman / chairperson","","No","unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","for future generations and crop cultivation"
"04-92-66-81","Acres","",.5,1,0,.2,.3,0,.5,"Private owned with no land title","Private owned with no land title",,"Private owned with no land title","Private owned with no land title",,"Private owned with no land title","No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",1,"Yes","Yes","Yes","No",,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","For future use"
"93-87-16-02","Acres","",0,.5,0,0,.5,0,0,,"Communally owned",,,"Communally owned",,,"No",,"",,"",,"Likely","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"The same","Slight decrease","No",,,"",0,"Yes","Do both crop and livestock farming"
"65-31-14-31","Acres","",0,0,0,0,.25,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","for farming"
"19-27-66-46","Acres","",3,0,0,30,.5,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"Likely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,20,"Slight decrease","Slight decrease","No",,,"",1,"Yes","obtain land in an area with sufficient water"
"08-44-37-94","Acres","",0,1.5,0,0,.5,0,0,,"Private owned with no land title",,,"Private owned with no land title",,,"Yes","Within family","","Clan / Elder","","Yes","Likely","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","near water to irrigate"
"71-04-48-02","Acres","",0,1,0,0,.5,0,0,,"Private owned with land title",,,"State owned",,,"Yes","Government","","Village headman / chairperson","","Yes","Likely","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","Build rentals"
"24-04-95-50","Acres","",0,0,0,0,2,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Very likely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,10,"Slight decrease","Massive decrease","No",,,"",1,"Yes","the land I currently have is rocky, want to obtain land where I can practice farming"
"27-66-11-12","Acres","",1,2,0,0,.5,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",2,"Yes","No","Yes","No",,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","For future use"
"11-10-12-08","Acres","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","Due to lack of funds"
