interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"82-15-11-19",,,,"",,"",,,,,,,,,,,,
"95-73-95-89",12,12,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"02-47-29-85",3,3,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"91-34-05-43",,,,"",,"",,,,,,,,,,,,
"29-34-28-44",,,,"",,"",,,,,,,,,,,,
"54-07-56-18",,,,"",,"",,,,,,,,,,,,
"02-67-98-73",10,3,"Market in this village","","No","","No",,,,,,,,,,,
"89-44-00-22",,,,"",,"",,,,,,,,,,,,
"25-47-42-18",,,,"",,"",,,,,,,,,,,,
"92-95-45-69",10,10,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"25-17-75-96",,,,"",,"",,,,,,,,,,,,
"08-10-28-09",,,,"",,"",,,,,,,,,,,,
"63-11-66-98",,,,"",,"",,,,,,,,,,,,
"90-89-89-25",16,16,"Direct individuals not in a market","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"01-16-33-75",11,11,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"37-73-98-41",,,,"",,"",,,,,,,,,,,,
"48-88-82-47",,,,"",,"",,,,,,,,,,,,
"44-96-14-86",3,3,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"47-83-83-86",5,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"79-40-96-41",,,,"",,"",,,,,,,,,,,,
"60-73-28-03",4,4,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"79-90-62-68",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
