interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"09-00-12-98","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"09-00-12-98","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"09-00-12-98","Visit recreational places","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"13-38-59-03","Go to the market","Yes","No","No","No","No","No","No","No","No","Less often"
"13-38-59-03","Go to school","Yes","No","No","No","No","No","No","No","No","Less often"
"13-38-59-03","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Varies/don’t know"
"13-38-59-03","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"13-38-59-03","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Less often"
"13-38-59-03","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"26-77-14-31","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"26-77-14-31","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"26-77-14-31","Visit recreational places","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"04-52-21-75","Go to the market","No","No","No","No","Yes","No","No","No","No","Almost every week"
"04-52-21-75","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"04-52-21-75","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Less often"
"04-52-21-75","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"04-52-21-75","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Less often"
"04-52-21-75","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"49-10-89-14","Go to the market","Yes","No","No","No","No","No","No","No","No","Varies/don’t know"
"49-10-89-14","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"49-10-89-14","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"15-13-85-83","Go to the market","No","No","No","No","Yes","No","No","No","No","Almost every week"
"15-13-85-83","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"15-13-85-83","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"81-99-34-25","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"81-99-34-25","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"81-99-34-25","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"96-35-08-20","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"96-35-08-20","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"96-35-08-20","Visit recreational places","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"78-02-12-77","Go to the market","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"78-02-12-77","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"78-02-12-77","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"66-37-18-93","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"66-37-18-93","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"66-37-18-93","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"77-89-79-33","Go to the market","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"77-89-79-33","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"77-89-79-33","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"77-89-79-33","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"09-97-47-73","Go to the market","No","No","No","No","Yes","No","No","No","No","A few times a year"
"09-97-47-73","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"09-97-47-73","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"62-45-31-86","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"96-13-78-99","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"96-13-78-99","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Less often"
"25-35-15-07","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-35-15-07","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-35-15-07","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"10-80-25-79","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"10-80-25-79","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"46-89-14-96","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"80-24-04-77","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"80-24-04-77","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"80-24-04-77","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"26-82-89-21","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"26-82-89-21","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"22-43-50-27","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"41-41-55-55","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"26-69-32-41","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"68-81-12-32","Go to the field","Yes","No","No","No","No","No","No","No","No","A few times a year"
"46-49-14-82","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"46-49-14-82","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"92-16-89-27","Go to the market","No","No","No","No","Yes","No","No","No","No","Almost every week"
"92-16-89-27","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"01-28-41-84","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"01-28-41-84","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"01-28-41-84","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"23-46-40-42","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"23-46-40-42","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"23-46-40-42","Got to workplace","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"23-46-40-42","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-71-36-41","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Less often"
"93-71-36-41","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-71-36-41","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"93-71-36-41","Got to workplace","No","No","No","No","Yes","No","No","No","No","A few times a year"
"93-71-36-41","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Less often"
"07-56-93-09","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"40-07-12-46","Go to the market","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"40-07-12-46","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"40-07-12-46","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Less often"
"40-07-12-46","Got to workplace","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"40-07-12-46","Go to the field","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"68-88-48-96","Go to the market","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"68-88-48-96","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"68-88-48-96","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"86-70-18-69","Go to the market","Yes","No","No","No","No","No","No","No","No","A few times a year"
"86-70-18-69","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"86-70-18-69","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"82-09-53-31","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"10-84-11-85","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"10-84-11-85","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"10-84-11-85","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-36-47-93","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-36-47-93","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"93-36-47-93","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"40-02-31-47","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"35-25-14-79","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"96-32-88-00","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"96-32-88-00","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"30-07-79-13","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once a week or more often"
"30-07-79-13","Go to school","Yes","Yes","No","No","Yes","No","No","No","No","Once a week or more often"
"30-07-79-13","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"05-61-96-62","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"05-61-96-62","Go to school","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"05-61-96-62","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"37-32-16-74","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"37-32-16-74","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"37-32-16-74","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"06-96-64-70","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"06-96-64-70","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"06-96-64-70","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"74-21-41-84","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"82-96-41-85","Go to the market","Yes","No","Yes","No","Yes","No","No","No","No","Almost every week"
"82-96-41-85","Go to school","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"82-96-41-85","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"82-96-41-85","Got to workplace","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"58-44-33-27","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"58-44-33-27","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"58-44-33-27","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"88-25-56-87","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"88-25-56-87","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"88-25-56-87","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"86-98-25-96","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"86-98-25-96","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"86-98-25-96","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"09-54-26-75","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"09-54-26-75","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"09-54-26-75","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"41-61-78-73","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"41-61-78-73","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"41-61-78-73","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
