interview__key,ctry,region,dist,ward,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"12-15-65-08","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454010","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"44-29-85-16","Kenya","Baringo","Tiaty East","Tangulbei","Pombo","100021454105","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"71-69-40-35","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454005","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"06-79-89-11","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454012","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"21-46-83-44","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454008","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"53-46-63-99","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454502","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"92-47-39-90","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032613","No","Yes","Refused","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"48-13-13-53","Kenya","Baringo","Tiaty East","Churo","Nyalilpich","100021032405","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"22-45-98-08","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454006","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"05-13-82-78","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454007","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"38-34-24-20","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454506","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"95-32-48-88","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454002","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"38-26-85-56","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454507","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-26-58-26","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454004","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"98-72-74-27","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454003","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"71-71-39-84","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454505","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"22-94-31-61","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454015","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"76-87-83-96","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454009","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"76-33-66-65","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154713","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"20-69-31-32","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110210","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"32-73-67-08","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110214","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"52-15-60-99","Kenya","Baringo","Tiaty East","Tangulbei","Sosion","100021454209","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"82-73-01-57","Kenya","Baringo","Baringo South","Marigat","Twetye","100011121501","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"89-62-46-70","Kenya","Baringo","Baringo South","Marigat","Twetye","100011121503","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"54-18-77-83","Kenya","Baringo","Tiaty East","Churo","Marigat","100021032310","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"54-86-93-60","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154708","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-07-96-51","Kenya","Baringo","Baringo South","Marigat","Twetye","100011121513","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"10-60-87-78","Kenya","Baringo","Baringo South","Marigat","Twetye","100011121506","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"60-37-22-12","Kenya","Baringo","Tiaty East","Churo","Churo Centre","100021032608","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"65-07-81-76","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454513","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"94-01-94-60","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154714","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"26-94-35-48","Kenya","Baringo","Tiaty East","Tangulbei","Lochel/Kang'iruru","100021454408","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"34-70-02-31","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154703","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"04-31-65-65","Kenya","Baringo","Baringo South","Marigat","Kiwanja Ndege","100011110209","Yes",,,"",,"No",1,"Representative of the head","Son","Yes"
