interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"80-41-60-05",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"50-77-28-73",2,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"42-38-30-13",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"05-33-62-23",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"17-87-80-73",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"73-58-06-14",2,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"22-13-82-99",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"49-72-13-69",4,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"72-23-50-93",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"24-20-09-18",3,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"02-65-40-62",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"65-04-66-76",2,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"87-33-92-13",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"61-75-70-64",4,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","VIP latrine",""
"23-31-62-51",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"95-05-18-77",2,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"87-43-52-74",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"61-21-03-67",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"72-29-78-52",4,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"11-76-72-18",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"97-14-88-73",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"68-19-50-42",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"95-00-37-38",3,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"94-73-96-31",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"40-23-79-37",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"49-36-92-60",1,"Thatched grass","","Wood","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"21-46-54-95",6,"Iron sheets","","Concrete","","Cement screed","","Unprotected source (well spring river lake tank truck)","","VIP latrine",""
"65-71-98-91",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"58-91-32-30",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"18-10-16-95",3,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"20-74-87-97",1,"Thatched grass","","Wood","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"42-18-27-84",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"65-19-88-53",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"56-92-07-98",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"74-74-25-12",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"83-96-24-75",2,"Iron sheets","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"56-67-49-17",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"16-50-24-00",1,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"73-07-75-47",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"26-48-16-48",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"72-76-08-58",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"51-88-01-88",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"94-25-97-12",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"06-34-31-56",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"85-35-12-09",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
