interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"47-83-83-86","Firewood",25,"Bunches","","No",,,"",,,"No",,"Slight increase","The same","trees still remains",""
"47-83-83-86","Medicinal plants",10,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deoletion of the plants"
"79-40-96-41","Firewood",192,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increasing population and deforestation"
"60-73-28-03","Firewood",40,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"60-73-28-03","Wild fruits",200,"Tins (eg milk tins)","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"79-90-62-68","Firewood",200,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deforestation"
"67-12-09-24","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation"
"63-23-35-27","Firewood",200,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","The same","continuous growth of prosobis",""
"04-92-66-81","Firewood",72,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"93-87-16-02","Firewood",30,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","large logs depletes"
"93-87-16-02","Wood for charcoal production",20,"90 kg bag","","Yes",20,"90 kg bag","","No",500,"Yes",1000,"Slight decrease","Massive decrease","","loggs depleted"
"65-31-14-31","Firewood",96,"Bale / Bundle","","No",,,"",,,"Yes",4000,"Slight decrease","Massive decrease","","charcoal  burning"
"19-27-66-46","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","charcoal burning has caused decrease in availability of firewood"
"19-27-66-46","Timber or poles",20,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","long periods of draught and charcoal burning"
"19-27-66-46","Honey",15,"Kilograms","","Yes",15,"Kilograms","","No",500,"No",,"The same","Slight decrease","",""
"08-44-37-94","Firewood",30,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","farms cleared"
"08-44-37-94","Wood for charcoal production",6,"90 kg bag","","Yes",6,"90 kg bag","","No",500,"No",,"The same","Slight decrease","",""
"08-44-37-94","Wild fruits",2,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","few trees which continues to be cleared"
"08-44-37-94","Medicinal plants",1,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","extinct species"
"71-04-48-02","Firewood",50,"Bunches","","Yes",10,"Bunches","","No",100,"No",,"Slight increase","Massive increase","availability of prosobis trees",""
"71-04-48-02","Wood for charcoal production",100,"90 kg bag","","Yes",90,"90 kg bag","","No",450,"No",,"Slight decrease","Slight decrease","","high extraction by the community"
"24-04-95-50","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","fencing of lands"
"24-04-95-50","Medicinal plants",6,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","extinction of some medicinal plants"
"27-66-11-12","Firewood",100,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"11-10-12-08","Firewood",84,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","Increasing growth of prosopis juliflora in the area",""
"10-98-84-98","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","human settlements, activities and charcoal burning"
"97-63-71-09","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","charcoal  burning"
"11-29-74-23","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","Due to increased growth and spread of prosopis juliflora",""
"11-29-74-23","Wood for charcoal production",96,"50 kg bag","","Yes",96,"50 kg bag","","Yes",500,"No",,"Massive increase","Massive increase","Due to increased growth and spread of prosopis juliflora",""
"11-29-74-23","Honey",3,"Debe","","Yes",3,"Debe","","No",5000,"No",,"Slight decrease","Slight decrease","","Due to a climate change and increased charcoal production in the area"
"59-89-68-30","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"59-89-68-30","Wood for charcoal production",50,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"59-89-68-30","Wild fruits",1,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deforestation"
"59-89-68-30","Medicinal plants",1,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","clearing of cropland"
"59-89-68-30","Mushrooms",1,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","changing in climatic conditions"
"59-89-68-30","Honey",15,"Kilograms","","Yes",8,"Kilograms","","Yes",1000,"Yes",3000,"Slight decrease","Massive decrease","","deforestation due increased population"
"59-89-68-30","Small game (warthog, duiker, turtle, wild birds)",4,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","destruction of their natural habitats"
"22-38-73-99","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive decrease","the lake moves away and the prosopis trees get dry and use them to fetch firewood",""
"22-38-73-99","Wood for charcoal production",8,"90 kg bag","","Yes",8,"90 kg bag","","Yes",400,"No",,"Massive decrease","Massive decrease","","accessment of lands where we fetch wood for charcoal is not allowed."
"81-45-95-70","Firewood",120,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"16-03-96-06","Firewood",160,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"16-03-96-06","Wood for charcoal production",72,"100 kg bag","","Yes",64,"100 kg bag","","Yes",400,"No",,"Slight decrease","Massive decrease","","Deforestation"
"81-14-42-85","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","defforestation"
"81-14-42-85","Wood for charcoal production",90,"90 kg bag","","Yes",90,"90 kg bag","","Yes",500,"No",,"Slight decrease","Massive decrease","","defforestation"
"81-14-42-85","Honey",1,"Debe","","Yes",1,"Debe","","No",5000,"No",,"Slight decrease","Massive decrease","","charcoal burning and pesticides"
"22-88-97-60","Firewood",30,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"47-75-71-27","Firewood",10,"Bunches","","No",,,"",,,"No",,"Slight increase","Massive increase","prosobis cover increased",""
