interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s14_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"29-86-40-08",3.05,17.76,1.94,2.96,7.08,9.74,8.039999999999999,7.84,27.5,5.74,.79,22.58,1.83,4.68,2.96,3.99,128.48,"00.02:08:22",128.3666666666667,"2023-07-17","06:09:01"
"10-69-61-22",5.76,18.18393939393939,2.21,3.918877005347594,4.434168126094571,6.248379790940766,8.539999999999999,5.061836007130124,23.83916221033868,7.65,1.32,17.17390374331551,2.83,3.247140319715808,3.93,3.68,118.0274065968224,"00.03:57:37",237.6166666666667,"2023-07-17","06:19:25"
"73-57-30-20",2.9,18.18393939393939,1.31,2.58,.31,6.248379790940766,4.45,7.22,16.06,4.75,1.21,17.17390374331551,.7,3.47,1.33,3.94,91.83622292819567,"00.01:15:46",75.76666666666667,"2023-07-17","13:24:07"
"98-91-04-48",1.98,23.24,.49,3.7,11.856,6.248379790940766,6.64,6.54,31.98,8.56,.3,17.17390374331551,1.31,1.79,3.526886120996441,2.03,127.3651696552527,"00.04:55:53",295.8833333333333,"2023-07-17","06:01:27"
"74-01-41-82",6.21,9.571000000000002,.82,2.55,.2,10.39,2.9,5.65,19.76,4.09,.61,20.75,1.52,5.63,4.9,2.56,98.111,"00.01:37:43",97.71666666666667,"2023-07-17","14:14:27"
"30-00-59-90",2.56,29.118,3.18,6.26,.2,10.39,8.539999999999999,5.061836007130124,33.88,7.19,.66,24.36,1.24,4.06,2.66,3.09,142.4498360071301,"00.02:32:43",152.7166666666667,"2023-07-17","11:05:31"
"66-77-39-39",4.37,29.118,2.54,5.68,.9,.36,5.030604982206405,5.061836007130124,21.98,5.78,.32,24.55,1.81,4.09,2.18,4.28,118.0504409893365,"00.02:34:24",154.4,"2023-07-17","10:25:31"
"35-78-11-70",3.610871886120997,15.95,.66,3.08,.97,.6,5.39,6.92,26.65,6.207379679144385,1.96,18.03,2.77,3.247140319715808,7.628,3.532326820603908,107.2057187055851,"00.02:41:35",161.5833333333333,"2023-07-17","06:16:21"
"75-25-98-04",3.41,18.18393939393939,.45,3.918877005347594,11.856,3.46,4.53,2.46,16.09,4,.34,11.77,1.15,2.52,6.44,3.75,94.32881639928698,"00.02:00:44",120.7333333333333,"2023-07-17","10:34:38"
"09-00-12-98",4.36,18.18393939393939,3.14,3.918877005347594,7.81,8.27,4.81,5.061836007130124,28.91,5.65,.8519434628975265,9.731000000000002,2.56,4.81,3.526886120996441,3.12,114.7144819903111,"00.02:38:21",158.35,"2023-07-17","08:26:10"
"13-38-59-03",5.5,12.08,1.466543209876543,4.48,5.04,.13,6.01,5.45,23.83916221033868,8.948999999999998,2.05,19.82,1.568812056737589,2.81,3.526886120996441,3.532326820603908,106.2527304185532,"00.02:41:31",161.5166666666667,"2023-07-17","08:08:38"
"26-77-14-31",3.610871886120997,29.118,3.502999999999998,6.29,6.98,.18,6.81,8.02,35.239,6.97,2.109,11.55,2.01,3.96,3.526886120996441,6.089,135.9657580071174,"00.02:36:02",156.0333333333333,"2023-07-17","11:15:22"
"04-52-21-75",3.610871886120997,18.29,1.17,3.51,10.26,8.67,7.91,5.75,33.33,8.948999999999998,1.6,16.13,1.568812056737589,3.87,3.526886120996441,6.089,134.234570063855,"00.12:01:30",721.5,"2023-07-17","05:36:33"
"49-10-89-14",3.610871886120997,17.04,3.39,3.918877005347594,4.434168126094571,6.248379790940766,5.030604982206405,5.061836007130124,15.98,4.72,1.73,25.738,1.568812056737589,3.247140319715808,7.35,6.089,115.1576901742938,"00.02:53:50",173.8333333333333,"2023-07-17","09:42:55"
"15-13-85-83",3.610871886120997,18.18393939393939,1.466543209876543,3.918877005347594,4.434168126094571,6.248379790940766,5.030604982206405,5.061836007130124,31.43,6.97,.23,22.2,1.44,5.32,3.526886120996441,2.69,121.7621065226528,"00.03:18:02",198.0333333333333,"2023-07-17","10:34:26"
"81-99-34-25",2.49,18.18393939393939,1.466543209876543,3.03,9.09,6.13,3.81,6.62,19.11,5.94,.24,9.76,1.17,2.48,7.29,3.532326820603908,100.3428094244198,"00.01:32:37",92.61666666666666,"2023-07-17","08:45:04"
"96-35-08-20",2.97,23.91,1.3,4.62,10.57,5.02,6.41,8.857999999999999,24.82,5.82,.8519434628975265,10.35,1.17,5.55,3.526886120996441,3.1,118.846829583894,"00.02:31:21",151.35,"2023-07-17","05:53:46"
"78-02-12-77",3.610871886120997,28.46,1.45,6.29,9.23,7.89,7.73,7.13,32.4,8.27,.88,23.99,1.86,5.38,3.526886120996441,4.21,152.3077580071174,"00.03:01:13",181.2166666666667,"2023-07-17","09:02:00"
"66-37-18-93",3.610871886120997,18.29,.68,6.29,10.66,6.248379790940766,5.030604982206405,5.061836007130124,35.239,7.58,1.76,25.12,2.49,3.92,3.526886120996441,3.45,138.9575787873947,"00.00:06:26",6.433333333333334,"2023-07-17","06:27:30"
"77-89-79-33",3.13,21.77,.9399999999999999,4.21,9.99,6.248379790940766,7.53,5.061836007130124,35.239,6.207379679144385,.43,17.32,2.964999999999999,5.958,3.526886120996441,4.51,135.0364815982117,"00.04:16:37",256.6166666666667,"2023-07-17","08:57:47"
"09-97-47-73",3.24,29.118,1.466543209876543,3.52,4.434168126094571,8.619999999999999,8.539999999999999,7.66,28.29,8.16,.39,15.86,1.86,2.93,5.19,6.089,135.3677113359711,"00.01:18:16",78.26666666666667,"2023-07-17","06:45:58"
"62-45-31-86",2.34,20.36,.68,3.918877005347594,4.46,4.21,5.030604982206405,2.51,17.4,7.5,.27,19.41,.7,3.247140319715808,3.526886120996441,2.02,97.58350842826624,"00.01:25:21",85.34999999999999,"2023-08-02","11:43:44"
"96-13-78-99",2.39,24.57,1.72,2.96,5.39,7.52,4,5.96,29.55,7.21,.3,12.17,1.38,1.95,3.93,3.85,114.85,"00.01:52:07",112.1166666666667,"2023-07-20","06:23:18"
"25-35-15-07",3.83,18.25,.93,3.76,9.109999999999999,6.248379790940766,5.61,8.857999999999999,32.22,6.61,.52,22.96,2.58,3.85,3.34,3.5,132.1763797909408,"00.02:28:23",148.3833333333333,"2023-07-20","06:24:15"
"10-80-25-79",3,11.44,1.54,2.44,.27,5.17,2.73,4.62,14.901,6.12,.93,18.14,1.98,3.61,1.65,3.9,82.441,"00.01:28:39",88.65000000000001,"2023-07-20","11:39:00"
"46-89-14-96",4.04,15.51,1.07,2.34,4.434168126094571,5.98,6.07,4.14,21.71,6.207379679144385,.95,13.19,1.65,3.247140319715808,1.4,2.02,93.95868812495476,"00.01:52:29",112.4833333333333,"2023-07-20","11:31:45"
"80-24-04-77",2.72,19.9,.8100000000000001,3.65,.52,6.248379790940766,3.86,7.95,25.85,7.25,.29,25.738,.91,1.9,2.17,3,112.7663797909408,"00.02:09:02",129.0333333333333,"2023-07-20","09:12:26"
"26-82-89-21",4.02,29.118,2.66,3.22,8.789999999999999,6.248379790940766,3.58,6.28,23.83916221033868,6.77,.38,25.738,2.13,2.25,1.69,3.532326820603908,130.2458688218834,"00.02:46:32",166.5333333333333,"2023-07-20","08:42:11"
"22-43-50-27",3.36,10.47,.63,4.32,9.9,6.248379790940766,3.25,4.81,30.64,6.207379679144385,1.06,17.17390374331551,1.62,4.61,1.34,3.532326820603908,109.1719900340046,"00.02:10:27",130.45,"2023-07-20","09:15:01"
"41-41-55-55",3.12,22.84,1.3,6.03,5.77,9.68,3.86,8.44,26.9,6.207379679144385,.65,21.37,.7,3.19,3.29,6.089,129.4363796791444,"00.02:13:26",133.4333333333333,"2023-07-20","06:22:17"
"26-69-32-41",6.4,18.18393939393939,1.02,3.79,4.434168126094571,8.5,3.9,5.061836007130124,35.239,4.93,.79,17.17390374331551,1.1,3.247140319715808,6.28,5.01,125.0599875901954,"00.03:25:23",205.3833333333333,"2023-07-20","09:37:27"
"68-81-12-32",4.83,18.18393939393939,1.6,3.44,11.3,6.26,5.030604982206405,4.8,29.87,5.25,2.01,13.72,1.568812056737589,5.62,4.19,2.02,119.6933564328834,"00.02:53:38",173.6333333333333,"2023-07-20","06:28:50"
