interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"10-39-00-99","No",,,,,,,,,,,"",,8,,"No"
"96-06-62-42","No",,,,,,,,,,,"",,4,,"No"
"11-59-44-40",,,,,,,,,,,,"",,,,
"27-51-81-61",,,,,,,,,,,,"",,,,
"44-37-52-83","No",,,,,,,,,,,"",,5,,"No"
"45-92-75-89","No",,,,,,,,,,,"",,4,,"No"
"85-71-09-15","No",,,,,,,,,,,"",,10,,"No"
"64-51-39-39","No",,,,,,,,,,,"",,7,,"No"
"36-28-42-39",,,,,,,,,,,,"",,,,
"95-09-61-15","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",5,3000,"No"
"86-63-74-80","No",,,,,,,,,,,"",,7,,"No"
"67-27-36-61","No",,,,,,,,,,,"",,15,,"No"
"08-84-33-33",,,,,,,,,,,,"",,,,
"07-50-91-84","No",,,,,,,,,,,"",,8,,"No"
"87-71-97-91","No",,,,,,,,,,,"",,7,,"No"
"72-05-40-32","No",,,,,,,,,,,"",,10,,"No"
"87-43-28-28",,,,,,,,,,,,"",,,,
"02-59-28-55","No",,,,,,,,,,,"",,20,,"No"
"41-71-16-88",,,,,,,,,,,,"",,,,
"91-57-08-43",,,,,,,,,,,,"",,,,
"63-99-85-70",,,,,,,,,,,,"",,,,
"65-43-78-90",,,,,,,,,,,,"",,,,
"37-38-94-21","No",,,,,,,,,,,"",,3,,"No"
"77-42-43-43","No",,,,,,,,,,,"",,12,,"No"
"68-60-50-68","No",,,,,,,,,,,"",,10,,"No"
"46-89-69-47","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",11,3000,"Yes"
"46-72-66-83","No",,,,,,,,,,,"",,13,,"No"
"25-02-52-66","Yes","No","No","No","No","No","Yes","No","No",,"Direct buyers, open-air market","","Market in this village",4,14000,"No"
"55-56-28-22","No",,,,,,,,,,,"",,13,,"No"
"99-17-74-11",,,,,,,,,,,,"",,,,
"46-53-61-02","No",,,,,,,,,,,"",,10,,"No"
"10-77-75-51","No",,,,,,,,,,,"",,7,,"No"
"71-70-88-23","No",,,,,,,,,,,"",,15,,"No"
"50-33-80-84","Yes","No","No","No","No","No","Yes","No","No",,"Brokers, middlemen, traders","","Rural market in neighbouring other village",14,12000,"No"
"21-95-76-65",,,,,,,,,,,,"",,,,
"91-60-65-39","No",,,,,,,,,,,"",,15,,"No"
"42-15-16-06",,,,,,,,,,,,"",,,,
"00-11-52-27",,,,,,,,,,,,"",,,,
"87-56-56-81","No",,,,,,,,,,,"",,12,,"No"
"81-79-89-86",,,,,,,,,,,,"",,,,
"10-18-23-80","No",,,,,,,,,,,"",,16,,"No"
"65-08-75-81","No",,,,,,,,,,,"",,16,,"No"
"71-59-52-11","No",,,,,,,,,,,"",,15,,"No"
"31-09-36-85","No",,,,,,,,,,,"",,8,,"No"
"29-04-00-40","No",,,,,,,,,,,"",,10,,"No"
"72-18-38-35",,,,,,,,,,,,"",,,,
"83-34-07-73",,,,,,,,,,,,"",,,,
"70-36-24-93",,,,,,,,,,,,"",,,,
"64-46-73-61",,,,,,,,,,,,"",,,,
"13-37-47-48","No",,,,,,,,,,,"",,10,,"No"
"22-02-49-30","No",,,,,,,,,,,"",,10,,"No"
"97-28-37-38",,,,,,,,,,,,"",,,,
"04-02-73-28","No",,,,,,,,,,,"",,5,,"No"
"57-09-51-71","No",,,,,,,,,,,"",,3,,"No"
"45-10-68-85","No",,,,,,,,,,,"",,5,,"No"
"72-72-49-77","No",,,,,,,,,,,"",,15,,"No"
"61-58-42-30","No",,,,,,,,,,,"",,8,,"No"
"46-76-02-18","No",,,,,,,,,,,"",,15,,"No"
"32-71-82-87","Yes","No","No","No","No","No","Yes","No","No",,"Brokers, middlemen, traders","","Rural market in neighbouring other village",14,4000,"No"
"51-19-72-02","No",,,,,,,,,,,"",,17,,"No"
"98-92-34-42","No",,,,,,,,,,,"",,8,,"No"
"49-20-15-79",,,,,,,,,,,,"",,,,
"19-17-82-94","No",,,,,,,,,,,"",,17,,"No"
"26-53-83-57",,,,,,,,,,,,"",,,,
"35-77-55-36","No",,,,,,,,,,,"",,7,,"No"
"60-19-93-23","No",,,,,,,,,,,"",,2,,"No"
"98-71-23-55","No",,,,,,,,,,,"",,7,,"No"
"88-09-79-89","No",,,,,,,,,,,"",,7,,"No"
"17-30-57-13",,,,,,,,,,,,"",,,,
"34-24-20-27","No",,,,,,,,,,,"",,4,,"No"
"13-99-53-09","No",,,,,,,,,,,"",,2,,"No"
"62-74-89-68","No",,,,,,,,,,,"",,15,,"No"
"10-78-86-05","No",,,,,,,,,,,"",,15,,"No"
"58-17-83-09","Yes","No","No","No","No","No","Yes","No","No",,"Brokers, middlemen, traders","","Rural market in neighbouring other village",20,8000,"No"
"86-94-71-57","No",,,,,,,,,,,"",,2.5,,"No"
"13-61-09-88",,,,,,,,,,,,"",,,,
"33-63-66-86","No",,,,,,,,,,,"",,4,,"No"
"31-45-42-89","No",,,,,,,,,,,"",,5,,"No"
"53-01-20-30","No",,,,,,,,,,,"",,3.2,,"No"
"13-52-61-75","No",,,,,,,,,,,"",,6,,"No"
"64-05-06-14",,,,,,,,,,,,"",,,,
"78-32-01-29","Yes","No","No","No","No","No","Yes","No","No",,"Brokers, middlemen, traders","","Rural market in neighbouring other village",6,6000,"No"
"33-80-34-20",,,,,,,,,,,,"",,,,
"10-62-40-22","No",,,,,,,,,,,"",,.5,,"No"
"82-40-44-86","No",,,,,,,,,,,"",,9,,"No"
"52-02-93-49","No",,,,,,,,,,,"",,1,,"No"
"94-99-56-40",,,,,,,,,,,,"",,,,
"32-71-99-16","No",,,,,,,,,,,"",,5,,"No"
"91-09-88-25","No",,,,,,,,,,,"",,4,,"No"
"53-58-51-62",,,,,,,,,,,,"",,,,
"95-92-63-73","No",,,,,,,,,,,"",,3,,"No"
"06-17-24-58","No",,,,,,,,,,,"",,3,,"No"
"23-78-50-31",,,,,,,,,,,,"",,,,
"20-84-25-59","No",,,,,,,,,,,"",,11,,"No"
"97-31-09-83","No",,,,,,,,,,,"",,5,,"No"
"56-22-99-66","No",,,,,,,,,,,"",,11,,"No"
"05-92-75-52","No",,,,,,,,,,,"",,6,,"No"
"56-78-97-61",,,,,,,,,,,,"",,,,
"89-05-59-72",,,,,,,,,,,,"",,,,
"50-93-16-91","Yes","No","No","No","No","No","Yes","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",13,20000,"No"
"89-68-31-84",,,,,,,,,,,,"",,,,
"37-58-34-11",,,,,,,,,,,,"",,,,
"33-93-90-01","No",,,,,,,,,,,"",,1,,"No"
"00-04-89-61","No",,,,,,,,,,,"",,20,,"No"
"98-42-90-09",,,,,,,,,,,,"",,,,
"81-57-29-94",,,,,,,,,,,,"",,,,
"55-74-55-01","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",5,6000,"No"
"35-03-81-94","No",,,,,,,,,,,"",,3,,"No"
"87-29-60-32","No",,,,,,,,,,,"",,3,,"No"
"59-04-53-64","Yes","No","No","No","No","No","Yes","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",2,10000,"No"
"82-68-38-51",,,,,,,,,,,,"",,,,
"64-96-99-21",,,,,,,,,,,,"",,,,
"36-02-93-74","No",,,,,,,,,,,"",,8,,"No"
"56-43-23-52","No",,,,,,,,,,,"",,15,,"No"
"42-33-55-75",,,,,,,,,,,,"",,,,
