interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"59-21-82-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-20-31-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33-11-85-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-48-61-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-93-60-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-11-55-95","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-15-11-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"95-73-95-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-47-29-85","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"91-34-05-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-34-28-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-07-56-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-67-98-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-44-00-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-47-42-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-95-45-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-17-75-96","Yes","No","100-500 m","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"08-10-28-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-11-66-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-89-89-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-16-33-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-73-98-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-88-82-47","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,150,,,,,,,,,,
"44-96-14-86","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"47-83-83-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-40-96-41","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,800,,,,,,,,,,
"60-73-28-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-90-62-68","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,3000,,,,,,,,,,
"67-12-09-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-23-35-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-92-66-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
