interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"15-06-78-78","No","No","Yes","No","Yes",1000,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"09-89-86-48","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"66-77-69-23","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"34-54-53-25","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"54-15-04-81","Yes","Yes","Yes","Yes","Yes",20000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"30-29-61-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"32-65-13-57","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"64-69-72-73","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-20-08-58","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-04-44-96","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"97-37-09-60","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"26-04-59-05","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"98-27-33-85","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"65-84-88-76","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"88-58-36-62","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"68-07-50-59","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"69-15-02-37","No","No","Yes","Yes","Yes",5000,"No","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"02-78-83-36","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-59-33-64","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"62-96-19-75","No","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"73-91-22-23","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"20-05-42-35","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"41-87-52-98","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"69-31-43-37","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"53-00-97-20","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"33-41-86-29","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"32-86-73-25","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"72-97-03-54","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"15-89-37-89","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"12-79-12-74","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"84-49-36-60","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"50-30-24-70","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
