interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"99-97-90-90","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","trust","trust","trust","trust","strongly trust","Very worried","Worried","Extremely worried","Extremely worried","Worried","Slightly worried","Slightly worried","Worried","Worried","Not at all worried"
"53-39-03-44","Agree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","strongly trust","indifferent","indifferent","trust","Worried","Slightly worried","Very worried","Slightly worried","Very worried","Worried","Worried","Worried","Slightly worried","Very worried"
"85-50-39-09","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","distrust","trust","Slightly worried","Slightly worried","Worried","Worried","Slightly worried","Slightly worried","Slightly worried","Very worried","Slightly worried","Not at all worried"
"46-32-17-36","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly distrust","strongly distrust","strongly distrust","strongly distrust","strongly distrust","Slightly worried","Not at all worried","Extremely worried","Extremely worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"85-98-37-69","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Slightly worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Worried","Slightly worried","Not at all worried"
"65-26-91-15","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Worried","Worried","Worried","Worried","Worried","Very worried","Slightly worried","Worried","Very worried","Very worried"
"65-45-62-39","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","indifferent","indifferent","trust","Very worried","Worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Slightly worried","Worried"
"47-59-10-25","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","indifferent","trust","trust","Worried","Worried","Extremely worried","Extremely worried","Very worried","Worried","Very worried","Very worried","Extremely worried","Worried"
"03-90-73-99","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly disagree","Disagree","trust","trust","strongly distrust","distrust","distrust","Not at all worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Extremely worried","Extremely worried"
"43-25-90-61","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","trust","strongly trust","strongly trust","strongly trust","strongly trust","Not at all worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
