interview__key,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"40-07-12-46","No","Yes","No","No","No","No",,15,30,9,"Communally owned",20,"No",,3,"No","No","Yes","No","No","No",300,"No","No","No","No","No","No","No","No","No","No","No","Yes","Displaced by water from lake","No","No",,"No","No","No","No","Yes","No","No","No","No",""
"68-88-48-96","No","Yes","No","No","No","No",,60,480,8,"Communally owned",6,"No",,1,"No","Yes","No","No","No","No",1,"Yes",,"No","No","No","No","No","No","No","No","No","No","",,"Yes","No","No","No","No","No","No","No","No","No",,"More agricultural activities"
"86-70-18-69","Yes","No","No","No","No","No",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"82-09-53-31","No","Yes","No","No","No","No",,30,420,7,"Communally owned",30,"No",,20,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"10-84-11-85","No","Yes","No","No","No","No",,38,240,4,"Communally owned",70,"No",,25,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No","No",""
"93-36-47-93","No","Yes","No","No","No","No",,25,640,8,"Communally owned",70,"No",,30,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No","No",""
"40-02-31-47","No","Yes","No","No","No","No",,30,660,11,"Communally owned",20,"No",,22,,,,,,,,,,,,,,,,,,,,"","Yes",,,"No","No","No","No","No","No","No","No","No",""
"35-25-14-79","No","Yes","No","No","No","No",,20,480,8,"Communally owned",15,"No",,6,"No","No","Yes","No","No","No",120,"Yes","No",,"No","No","No","No",,"No","No","No","No","","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"96-32-88-00","Yes","Yes","No","No","No","No",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No",,"No","No","No","No",""
"30-07-79-13","No","Yes","No","No","No","No",,25,480,8,"Communally owned",30,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No","No",""
"05-61-96-62","No","Yes","No","No","No","No",,30,60,8,"Private owned with no land title",30,"No",,2,"Yes","No","No","No","No","No",,"Yes","No","No","No","No","No","No",,"No","No","No","No","","Yes",,"No","No","No","No","No","No","No","No","No","No",""
"37-32-16-74","No","Yes","No","No","No","No",,60,680,9,"Communally owned",10,"No",,18,,,,,,,,,,,,,,,,,,,,"",,"No","Yes","No","No","No","No",,"No","No","No","No",""
"06-96-64-70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"74-21-41-84","No","Yes","No","No","No","No",,60,680,9,"Communally owned",10,"No",,12,,,,,,,,,,,,,,,,,,,,"",,,"Yes","No","No","No","No","No","No","No","No","No",""
"82-96-41-85","No","Yes","No","No","No","No",,30,60,6,"Private owned with no land title",30,"No",,4,"Yes","No","No","No","No","No",,"Yes",,"No","No",,"No","No","No","No","No","No","No","","No",,"No",,"No","No","No","Yes","No","No","No","No",""
"58-44-33-27","No","No","Yes","No","No","No",,120,480,4,"Communally owned",100,"No",,1,"No","No","Yes","No","No","No",30,"Yes",,"No","No","No","No","No",,"No","No","No","No","","Yes",,,"No","No","No","No","No","No","No","No","No",""
"88-25-56-87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"86-98-25-96","No","Yes","No","No","No","No",,30,60,8,"Private owned with no land title",80,"No",,5,"Yes","No","No","No","No","No",,"Yes","No","No",,"No","No","No",,"No","No","No","No","",,,"No","No","No","No","No","No","Yes","No","No","No",""
"09-54-26-75","No","Yes","No","No","No","No",,10,420,7,"Communally owned",15,"No",,7,"No","Yes","Yes","No","No","No",120,"Yes","No",,"No","No","No","No","No","No","No","No","No","","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"41-61-78-73","No","Yes","No","No","No","No",,30,480,8,"Communally owned",40,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No","No",""
"90-86-53-30","No","Yes","No","No","No","No",,30,480,8,"Communally owned",20,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"16-75-57-30","No","Yes","No","No","No","No",,20,480,8,"Communally owned",15,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"60-19-22-98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"97-29-58-98","No","No","Yes","No","No","No",,30,300,4,"Communally owned",50,"No",,2,"No","No","Yes","No","No","No",60,"Yes",,"No","No","No","No","No",,"No","No","No","No","","No","No","Yes","No","No","No","No","No","No","No","No","No",""
"51-48-94-50","No","Yes","No","No","No","No",,30,60,7,"Communally owned",3,"No",,12,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"97-20-59-08","No","Yes","No","No","No","No",,30,60,8,"Communally owned",100,"No",,15,,,,,,,,,,,,,,,,,,,,"",,"Yes",,"No","No","No","No","No","No","No","No","No",""
"21-43-02-41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"82-77-24-98","Yes","Yes","No","No","No","No",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"68-99-96-16","No","Yes","No","No","No","No",,20,50,8,"Co-share/ co-farming",1,"No",,3,"No","Yes","No","No","No","No",60,"Yes","No","No","No",,"No","No","No","No","No","No","No","","Yes",,"No","No","No","No","No","No","No","No","No","No",""
"47-95-59-62","No","Yes","No","No","No","No",,30,520,7,"Communally owned",15,"No",,4,"No","Yes","No","No","No","No",60,"Yes","No","No","No","No","No","No",,,"No","No","No","",,"No","No","No","No",,"No","Yes","No","No","No","No",""
"86-57-96-89","No","Yes","No","No","No","No",,10,480,8,"Communally owned",30,"No",,8,"No","No","Yes","No","No","No",180,"Yes","No",,"No","No","No","No",,"No","No","No","No","","Yes","No",,"No","No","No","No",,"No","No","No","No",""
