interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"97-20-59-08","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"21-43-02-41","Murram/ gravel road","Only passable with certain vehicles/ at certain times","No","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"82-77-24-98","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","No","No","No","No",,2,"Yes","No",,"No",,,,,,"No","No","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"68-99-96-16","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,8,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"47-95-59-62","Dirt road/ bush road","Almost not passable","Yes","No","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"86-57-96-89","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,30,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"68-47-81-44","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"36-96-75-03","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","Yes","No","No","No","No",,30,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"08-94-02-07","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","Yes","No",,60,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"37-79-35-25","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
