interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"57-47-06-86",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 30s",13,2
"70-03-65-67",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 50s",10,0
"70-03-65-67",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",5,1
"70-03-65-67",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",5,2
"48-58-26-00",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 40s",28,4
"48-58-26-00",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",8,8
"48-58-26-00",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",4,3
"48-53-15-07",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",15,10
"48-53-15-07",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",5,6
"48-53-15-07",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",8,8
"44-97-24-07",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",8,3
"44-97-24-07",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",2,2
"44-97-24-07",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",4,4
"63-58-57-56",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",30,5
"63-58-57-56",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",29,2
"63-58-57-56",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",21,1
"50-43-62-27",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",10,2
"50-43-62-27",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 30s",20,5
"50-43-62-27",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 50s",20,10
"80-45-95-05",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",0,0
"80-45-95-05",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 30s",0,0
"80-45-95-05",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",2,0
"63-29-07-40",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Pokot","","In their 40s",2,1
"63-29-07-40",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",2,1
"63-29-07-40",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 30s",2,0
"54-48-29-18",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",0,0
"54-48-29-18",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",2,0
"54-48-29-18",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",1,1
"50-16-00-20",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 60s",2,1
"50-16-00-20",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Pokot","","In their 40s",5,0
"50-16-00-20",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",5,2
"45-36-57-50",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 40s",30,10
"45-36-57-50",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 40s",26,4
"45-36-57-50",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",23,5
"49-75-44-53",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",30,2
"49-75-44-53",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",30,1
"49-75-44-53",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 40s",27,5
"35-67-10-08",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",1,0
"35-67-10-08",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 30s",2,1
"35-67-10-08",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 30s",2,2
"12-79-91-83",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Pokot","","In their 50s",10,15
"12-79-91-83",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 40s",5,5
"12-79-91-83",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",18,6
"19-90-00-01",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",23,3
"19-90-00-01",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",20,2
"19-90-00-01",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",30,10
"29-86-40-08",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Pokot","","In their 50s",10,6
"29-86-40-08",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 40s",15,5
"29-86-40-08",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",12,6
"10-69-61-22",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",6,4
"10-69-61-22",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",9,6
"10-69-61-22",3,"Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",4,8
"73-57-30-20",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",30,2
"73-57-30-20",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",20,5
"73-57-30-20",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",30,20
"98-91-04-48",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Ilchamus","","In their 30s",20,15
"98-91-04-48",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Ilchamus","","In their 40s",6,4
"98-91-04-48",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Ilchamus","","In their 40s",4,4
"74-01-41-82",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 60s",10,4
"74-01-41-82",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",20,4
"74-01-41-82",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",15,3
"30-00-59-90",1,"No","No","Yes","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 40s",26,20
"30-00-59-90",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",1,3
"30-00-59-90",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",9,3
"66-77-39-39",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","&gt;70",1,0
"66-77-39-39",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 60s",1,0
"66-77-39-39",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",1,1
"35-78-11-70",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 50s",20,10
"35-78-11-70",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 40s",2,1
"35-78-11-70",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 40s",12,5
"75-25-98-04",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Ilchamus","","In their 50s",15,5
"75-25-98-04",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",6,2
"75-25-98-04",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 50s",3,1
"09-00-12-98",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Ilchamus","","In their 60s",30,30
"09-00-12-98",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 60s",4,4
"09-00-12-98",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 20s",20,20
"13-38-59-03",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 60s",28,5
"13-38-59-03",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",10,2
"13-38-59-03",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",18,5
"26-77-14-31",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",10,5
"26-77-14-31",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",15,15
"26-77-14-31",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Ilchamus","","In their 60s",30,30
"04-52-21-75",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",5,1
"04-52-21-75",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 60s",20,5
"04-52-21-75",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 60s",4,1
"49-10-89-14",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Ilchamus","","In their 30s",22,5
"49-10-89-14",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",15,3
"49-10-89-14",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Ilchamus","","In their 20s",15,4
