interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"85-88-72-49",5.149999999999999,19.38002865329513,2.24,10.17,10.25063037249284,.16,3.85,6.06,24.26,5.45,2.02,17.45193732193732,1.371647727272727,3.344212034383954,3.91,115.068456109382,"00.03:07:26",187.4333333333333,"2023-06-08","15:13:00"
"44-34-38-88",3.062378223495702,16.99,.97,6.79,10.25063037249284,.46,3.54,3.87,17.09,4.62,1.29,8.44,1.02,2.83,3.18,84.40300859598854,"00.01:30:18",90.3,"2023-06-08","15:35:39"
"83-00-22-24",2.37,13.46,1.119318181818182,7.15,14.7,.37,4.72,2.15,16.89,4.37,2.03,17.45193732193732,1.75,5.778,5.26,99.5692555037555,"00.02:02:47",122.7833333333333,"2023-06-09","10:24:52"
"53-00-05-97",2.52,9.968,.46,7.625558739255014,6.4,.17,3.65,1.73,24.26126074498567,5.904485714285714,.58,17.45193732193732,1.371647727272727,3.344212034383954,4.359570200573066,89.79667248269347,"00.01:24:07",84.11666666666666,"2023-06-09","11:26:32"
"57-74-38-33",1.9,28.49,1.91,7.16,14.47,5.2,6.54,4.97,27.24,6.07,1.000571428571429,10.12,.82,4.84,4.33,125.0605714285714,"00.02:19:32",139.5333333333333,"2023-06-09","11:25:29"
"65-24-72-96",2.52,19.98,1.92,11.944,10.25063037249284,8.470000000000001,5.024928366762178,5.47,26.7,7.07,1.84,30.44,1.371647727272727,1.99,4.359570200573066,139.3507766671008,"00.02:28:19",148.3166666666667,"2023-06-09","07:43:43"
"67-69-19-83",3.062378223495702,18.01,1.119318181818182,8.82,10.51,.13,2.94,2.04,23.36,7.58,.35,24.03,1.24,2.17,6.11,111.4716964053139,"00.01:58:41",118.6833333333333,"2023-06-09","09:11:05"
"65-02-79-39",5.149999999999999,12.41,.67,11.944,9.82,10.184,3.29,3.720458452722063,30.95,8.539999999999999,.76,17.45193732193732,1.52,2.84,4.52,123.7703957746594,"00.02:37:58",157.9666666666667,"2023-06-09","09:43:48"
"36-55-19-74",3.97,9.968,.8,8.16,5.25,.1,5.024928366762178,4.06,24.26126074498567,6.42,.33,25.89,1.51,3.72,3.68,103.1441891117478,"00.02:41:41",161.6833333333333,"2023-06-09","11:14:10"
"02-47-11-50",2.28,9.968,1.119318181818182,6.73,7.36,.18,2.726,2.89,19.07,4.75,.67,9.27,.96,3.14,5.12,76.23331818181818,"00.01:12:00",72,"2023-06-09","10:12:01"
"34-55-62-08",3,19.38002865329513,1.119318181818182,7.625558739255014,9.75,10.184,5.024928366762178,3.720458452722063,24.26126074498567,8.542,1.54,24.87,1.21,5.48,7.63,133.3375531388382,"00.03:37:13",217.2166666666667,"2023-06-09","07:44:12"
"21-53-06-24",4.35,29.16,1.14,9.16,10.25063037249284,4.337118644067797,5.024928366762178,6.267999999999999,36.44,5.904485714285714,1.000571428571429,17.45193732193732,1.371647727272727,4.28,4.359570200573066,140.4988897759631,"00.03:32:09",212.15,"2023-06-09","12:49:32"
"54-20-19-80",3.062378223495702,12.01,1.119318181818182,7.625558739255014,18.618,7.56,4.5,3.720458452722063,37.694,7.2,1.000571428571429,17.45193732193732,2.12,5.778,2.44,131.9002223477997,"00.02:45:05",165.0833333333333,"2023-06-09","07:31:20"
"77-37-06-75",3.56,23.29,1.51,9.4,10.25063037249284,4.337118644067797,2.76,4.73,27.4,6.88,.77,17.45193732193732,1.31,5.74,4.359570200573066,123.749256539071,"00.03:00:38",180.6333333333333,"2023-06-09","11:35:13"
"17-29-45-21",3.062378223495702,14.49,1,11.944,6.01,.13,5.024928366762178,4.22,28.56,5.21,1.22,17.45193732193732,2.242,3.99,5.17,109.7252439121952,"00.02:15:15",135.25,"2023-06-09","13:57:23"
"14-98-54-79",4.32,29.31,1.04,5.53,13.35,.1,7.96,3.720458452722063,21.47,4.42,1.03,20.34,1.32,5.77,3.19,122.8704584527221,"00.02:06:48",126.8,"2023-06-09","08:04:35"
"74-43-35-64",3.01,14.58,.6899999999999999,7.625558739255014,10.25063037249284,.31,4.66,5.88,33.93,5.15,1.24,11.79,2.09,1.91,4.359570200573066,107.4757593123209,"00.02:34:50",154.8333333333333,"2023-06-09","09:08:48"
