interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"92-61-03-62","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-86-94-14","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"26-53-37-24","Yes","Yes","Yes","Yes","Yes",200,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"73-57-99-74","Yes","No","Yes","No","Yes",34000,"Yes","No","No","Yes","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"49-29-23-58","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"71-13-07-75","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-53-43-56","No","No","No","No","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"57-61-80-20","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"66-47-36-80","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"55-47-02-66","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"69-74-76-81","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"25-51-33-57","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"99-83-71-81","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"30-46-44-49","Yes","No","Yes","No","Yes",3000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"03-30-12-96","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-16-22-13","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"96-28-28-46","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"10-32-26-69","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"68-75-69-07","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"02-58-63-69","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-12-98-10","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"22-68-19-10","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"99-42-05-34","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"21-29-11-98","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"06-11-50-44","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"38-44-09-59","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"81-45-35-86","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-11-66-41","Yes","Yes","Yes","No","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"45-34-02-51","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-37-15-28","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"73-50-61-74","No","No","No","No","Yes",150,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"58-09-34-36","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"94-78-30-89","No","No","Yes","Yes","Yes",2500,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"97-62-61-29","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-35-49-05","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"18-48-69-27","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"30-61-23-28","No","No","No","Yes","Yes",50,"Yes","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"91-09-11-51","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"03-15-59-01","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"51-88-98-79","Yes","No","Yes","No","Yes",4300,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"38-99-58-33","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"73-78-76-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-76-51-56","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"34-75-99-64","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"00-76-59-09","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"03-36-35-32","No","Yes","No","Yes","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"66-74-25-56","No","Yes","No","Yes","Yes",500,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"80-48-62-68","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"67-59-61-49","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
