interview__key,ctry,region,dist,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"61-30-29-22","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032815","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"32-64-82-60","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032812","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"05-69-71-03","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034012","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-54-48-69","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032814","Yes",,,"",,"No",1,"Representative of the head","Son","Yes"
"40-71-41-17","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032810","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"59-04-18-69","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034016","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"99-19-59-36","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033502","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"66-80-07-88","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032805","Yes",,,"",,"No",1,"Representative of the head","Nephew","Yes"
"33-91-72-59","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034015","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"79-95-75-64","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033514","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-27-38-94","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034009","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"20-85-41-55","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032802","Yes",,,"",,"No",1,"Head of the household",,"Yes"
