interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"29-40-24-48",115,115,"Others ➡️ Specify","none","No","","No",,,,,,,,,,,
"79-00-21-46",90,90,"Others ➡️ Specify","do not sell","No","","No",,,,,,,,,,,
"46-34-68-84",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"45-00-04-40",5,5,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"22-15-19-43",95,95,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"09-01-21-24",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"28-05-99-59",1,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"78-33-63-09",115,115,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"21-06-84-39",95,95,"Market in this village","","No","","No",,,,,,,,,,,
"96-45-29-81",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"82-78-33-54",5,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"01-53-98-85",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"15-34-27-17",4,4,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"84-32-88-02",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"02-43-89-26",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"36-62-21-63",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"98-63-71-97",102,103,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"07-88-71-07",60,60,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"18-07-56-01",1,115,"Market in this village","","No","","No",,,,,,,,,,,
"76-16-53-82",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"36-91-65-20",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"22-29-07-01",93,93,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"53-93-66-67",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"37-39-06-63",95,95,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"17-95-97-27",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"92-61-03-62",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"02-86-94-14",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"26-53-37-24",100,100,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"73-57-99-74",125,125,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"49-29-23-58",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"71-13-07-75",80,80,"Market in this village","","No","","No",,,,,,,,,,,
"19-53-43-56",,,,"",,"",,,,,,,,,,,,
"57-61-80-20",3,3,"Market in this village","","No","","No",,,,,,,,,,,
