interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"62-10-09-84","Other➡️ Please specify","lima",0,0,0,0,.25,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"No","it's of no use looking at the age"
"16-01-99-93","Hectares","",3,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","LC Court","","Yes","Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,12,"Massive decrease","Massive decrease","No",,,"",2,"No","too old"
"91-31-71-31","Hectares","",5,5,0,0,.25,0,0,"Private owned with no land title","Communally owned",,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"No","The respondent has sufficient land"
"14-78-47-78","Other➡️ Please specify","Lima (1 Lima = 0.25 hectares)",20,0,0,0,4,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","Slight decrease","No",,,"",1,"Yes","So that the children can find where to cultivate"
"07-03-43-18","Other➡️ Please specify","Lima, 1 Lima=0.25ha",4,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Village headman / chairperson","","No","Likely","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"No",,,,,,,2,"Slight decrease","Slight decrease","No",,,"",1,"Yes","for agriculture purpose"
"87-80-74-34","Hectares","",2,0,0,0,.8,0,0,"Co-share/ co-farming",,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,4,"Massive decrease","Massive decrease","No",,,"",1,"Yes","to produce more food"
"39-19-95-41","Hectares","",6,2,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"Yes","For farming purposes"
"13-94-38-36","Other➡️ Please specify","Lima",10,3.75,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,4,"Slight decrease","Slight decrease","No",,,"",5,"Yes","for building houses only"
"64-10-30-77","Hectares","",2.5,2,0,0,.23,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",.5,"Yes","No","No","No",,3,"Slight decrease","Slight decrease","No",,,"",1,"No","Lack of funds"
"98-88-46-23","Hectares","",2,0,0,50,.06,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,6,"The same","Slight decrease","No",,,"",2,"No","Not until I have enough man power"
"35-26-63-26","Hectares","",2.5,2,.1,0,.2,0,0,"Communally owned","Communally owned","Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"Very likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,26,"Slight decrease","Slight decrease","No",,,"",1,"Yes","The current residential area has limited space"
"77-44-63-61","Other➡️ Please specify","Lima, 1 Lima=0.25ha",10,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"The same","The same","No",,,"",4,"No","The current 4 are enough"
"26-64-90-32","Hectares","",3.75,0,0,0,.23,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Clan / Elder","","Yes","Likely","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"Yes",.5,"Yes","No","No","No",,8,"Slight decrease","Slight decrease","No",,,"",1,"Yes","To build rooms for rental income"
"15-44-39-66","Hectares","",.5,1,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"Yes","Other individuals","","Village headman / chairperson","","No","Maybe, maybe not","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","The same","No",,,"",1,"Yes","For farming purposes"
"97-96-32-80","Hectares","",25,1,1,0,.1,0,0,"Private owned with no land title","Private owned with no land title","Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",2.5,"Yes","No","No","No",,100,"Slight decrease","Massive decrease","No",,,"",4,"Yes","what I have is not enough"
"65-28-62-87","Hectares","",2,0,0,40,.08,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,2,"The same","Slight decrease","No",,,"",2,"Yes","To build"
"91-95-41-16","Hectares","",20,0,0,50,.17,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,25,"The same","The same","No",,,"",2,"Yes","To build"
"65-02-00-05","Hectares","",2,0,0,0,.25,0,0,"Communally owned",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",4,"No","we have enough land"
"48-22-83-32","Hectares","",1,0,0,5,.5,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,1,"Massive decrease","Massive decrease","No",,,"",3,"Yes","additional farm land"
"53-04-96-58","Hectares","",.4,0,0,0,.1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",.4,"Yes","No","No","No",,4,"Slight decrease","Massive decrease","No",,,"",2,"Yes","I still more land"
"93-77-89-30","Hectares","",5,0,0,0,.06,0,0,"Private owned with no land title",,,,"Co-share/ co-farming",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,6,"The same","Massive decrease","Yes",8000,"Government agency","",1,"Yes","Agriculture"
"03-06-71-34","Other➡️ Please specify","Lima, 1Lima =0.25ha",30,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,2,"The same","The same","No",,,"",3,"No","3 is enough"
"38-24-53-68","Hectares","",1,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","No enough money to acquire a land"
"76-44-39-80","Hectares","",2,.5,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",2,"No","No enough money to acquire a land"
"17-98-15-90","Hectares","",10,2,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"Yes","Other individuals","","Village headman / chairperson","","Yes","Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",2,"No","Satisfied"
"43-89-48-48","Hectares","",1,2,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No",,"No",,,,,,,2,"Slight decrease","Massive decrease","No",,,"",1,"No","no money"
