interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"46-95-44-44","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"79-36-03-31","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Extremely worried","Extremely worried","Worried","Very worried","Worried"
"37-08-68-08","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","distrust","distrust","distrust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Very worried","Worried","Worried","Worried","Extremely worried"
"76-66-08-56","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","indifferent","strongly trust","strongly trust","trust","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Not at all worried","Not at all worried"
"84-78-41-82","Indifferent (neither nor)","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Indifferent (neither nor)","trust","trust","distrust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"33-73-65-41","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","trust","trust","trust","trust","trust","Extremely worried","Slightly worried","Very worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"15-05-96-27","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Very worried","Very worried"
"04-08-02-81","Agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","distrust","strongly trust","trust","strongly trust","trust","Extremely worried","Very worried","Extremely worried","Extremely worried","Very worried","Very worried","Very worried","Worried","Slightly worried","Very worried"
"48-12-37-19","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","distrust","distrust","distrust","distrust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Worried","Slightly worried","Slightly worried","Not at all worried"
"99-22-87-46","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Slightly worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"05-46-14-17","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","distrust","distrust","distrust","trust","strongly trust","Slightly worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Worried","Worried"
"21-68-94-15","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Very worried","Worried","Worried","Worried"
"40-56-04-29","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","strongly distrust","trust","strongly distrust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Extremely worried"
"58-04-84-61","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","indifferent","strongly trust","strongly trust","strongly trust","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"92-36-21-21","Strongly agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","distrust","distrust","distrust","Very worried","Very worried","Extremely worried","Worried","Worried","Very worried","Very worried","Worried","Not at all worried","Very worried"
"14-57-41-87","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Indifferent (neither nor)","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Very worried","Extremely worried","Extremely worried","Worried","Slightly worried","Extremely worried","Worried","Not at all worried","Very worried"
"96-30-76-58","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","trust","trust","trust","trust","trust","Slightly worried","Very worried","Worried","Worried","Worried","Slightly worried","Worried","Worried","Worried","Worried"
"94-10-09-72","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Very worried","Very worried","Very worried","Very worried"
"63-44-25-02","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Disagree","Disagree","indifferent","trust","indifferent","trust","trust","Very worried","Very worried","Extremely worried","Very worried","Very worried","Not at all worried","Not at all worried","Slightly worried","Slightly worried","Worried"
"66-67-56-06","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Very worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"61-94-69-82","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Indifferent (neither nor)","Disagree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Slightly worried","Very worried","Very worried"
