interview__key,r_members__id,r_child__id,ed03asp,asocp01,youth_child_tofarm
"73-57-99-74",1,5,"University level","Doctor","Likely"
"49-29-23-58",1,6,"University level","Doctor","Very likely"
"49-29-23-58",1,7,"University level","Pilot","Very likely"
"49-29-23-58",2,6,"University level","Teacher","Likely"
"49-29-23-58",2,7,"University level","Pilot","Likely"
"66-47-36-80",1,3,"University level","Teacher","Likely"
"66-47-36-80",2,3,"University level","Police officer","Likely"
"69-74-76-81",1,3,"Post graduate university level","Doctor","Likely"
"69-74-76-81",2,3,"University level","Nurse","Likely"
"25-51-33-57",1,7,"College","Doctor","Maybe, maybe not"
"25-51-33-57",1,8,"College","Accountant","Maybe, maybe not"
"25-51-33-57",1,9,"Grade 12","Police","Likely"
"25-51-33-57",4,7,"Grade 12","Police","Maybe, maybe not"
"25-51-33-57",4,8,"College","Nurse","Maybe, maybe not"
"25-51-33-57",4,9,"College","Teacher","Maybe, maybe not"
"30-46-44-49",1,3,"University level","Soldier","Likely"
"30-46-44-49",2,3,"University level","Doctor","Likely"
"03-30-12-96",1,6,"College","Engineer","Maybe, maybe not"
"03-30-12-96",1,7,"College","Teacher","Maybe, maybe not"
"03-30-12-96",3,6,"Grade 12","Doctor","Maybe, maybe not"
"03-30-12-96",3,7,"Grade 12","Teacher","Likely"
"35-16-22-13",1,2,"University level","Nurse","Likely"
"35-16-22-13",1,8,"University level","Reporter","Likely"
"35-16-22-13",1,9,"Post graduate university level","Doctor","Likely"
"35-16-22-13",6,2,"College","Nurse","Very likely"
"35-16-22-13",6,8,"College","Teacher","Very likely"
"35-16-22-13",6,9,"College","Teacher","Very likely"
"96-28-28-46",2,6,"University level","Teacher","Likely"
"10-32-26-69",1,6,"University level","Teacher","Very likely"
"10-32-26-69",1,7,"University level","News reporter","Likely"
"10-32-26-69",1,8,"University level","Lawyer","Likely"
"10-32-26-69",2,6,"College","Teacher","Very likely"
"10-32-26-69",2,7,"University level","Nursing","Likely"
"10-32-26-69",2,8,"University level","Doctor","Very likely"
"58-12-98-10",2,5,"University level","Nurse","Very likely"
"06-11-50-44",1,3,"University level","Teacher","Very likely"
"06-11-50-44",1,4,"University level","Teacher","Very likely"
"06-11-50-44",1,5,"University level","Teacher","Very likely"
"06-11-50-44",1,6,"University level","Doctor","Very likely"
"06-11-50-44",2,3,"University level","Teacher","Likely"
"06-11-50-44",2,4,"University level","Doctor","Likely"
"06-11-50-44",2,5,"Grade 12","Transportation business","Likely"
"06-11-50-44",2,6,"University level","Nurse","Likely"
"38-44-09-59",1,3,"Post graduate university level","Lecturer","Likely"
"38-44-09-59",5,3,"University level","Doctor","Likely"
"83-11-66-41",1,3,"Grade 12","Soldier","Likely"
"45-34-02-51",1,2,"College","Nursing","Likely"
"26-37-15-28",1,6,"University level","Doctor","Likely"
"26-37-15-28",1,7,"University level","Teacher","Likely"
"26-37-15-28",1,8,"University level","Clinical officer","Likely"
"26-37-15-28",2,6,"University level","Doctor","Likely"
"26-37-15-28",2,7,"University level","Teacher","Likely"
"26-37-15-28",2,8,"University level","Police","Likely"
"73-50-61-74",1,6,"College","Teacher","Unlikely"
"73-50-61-74",1,7,"College","Doctor","Likely"
"73-50-61-74",1,8,"College","Teacher","Likely"
"73-50-61-74",3,6,"College","Teacher","Likely"
"73-50-61-74",3,7,"College","Doctor","Likely"
"73-50-61-74",3,8,"College","Teacher","Likely"
"94-78-30-89",1,7,"University level","Lecturer","Likely"
"94-78-30-89",1,8,"College","Sodier","Likely"
"97-62-61-29",1,5,"College","Soldier","Likely"
"97-62-61-29",1,7,"University level","Doctor","Likely"
"16-35-49-05",1,5,"College","Doctor","Likely"
"16-35-49-05",1,7,"College","Teacher","Likely"
"16-35-49-05",2,5,"University level","Teacher","Likely"
"16-35-49-05",2,7,"University level","Doctor","Likely"
"30-61-23-28",1,2,"University level","Teacher","Very likely"
