interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"57-61-80-20","Firewood",1,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"66-47-36-80","Firewood",15,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"55-47-02-66","Firewood",10,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","only source of cooking"
"69-74-76-81","Firewood",12,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"25-51-33-57","Firewood",5,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"99-83-71-81","Firewood",8,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Over harvesting"
"99-83-71-81","Wild fruits",12,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"99-83-71-81","Medicinal plants",5,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"30-46-44-49","Firewood",3,"Oxcart","","No",,,"",,,"Yes",300,"Slight decrease","Slight decrease","","High practice of timber"
"03-30-12-96","Firewood",200,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"35-16-22-13","Firewood",96,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Increase in people collecting firewood"
"96-28-28-46","Firewood",1,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Deforestation"
"10-32-26-69","Firewood",5,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"10-32-26-69","Sand, stone, mud",45,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Because of the one used"
"68-75-69-07","Firewood",5,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Over population"
"02-58-63-69","Firewood",6,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"58-12-98-10","Firewood",144,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"22-68-19-10","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"99-42-05-34","Firewood",2,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"21-29-11-98","Firewood",12,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"06-11-50-44","Firewood",200,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"06-11-50-44","Timber or poles",22,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","more people involved in timber harvesting"
"06-11-50-44","Other➡️specify",18,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"38-44-09-59","Firewood",4,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"81-45-35-86","Firewood",192,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"83-11-66-41","Firewood",1200,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"45-34-02-51","Firewood",4,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"26-37-15-28","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"73-50-61-74","Firewood",10,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"58-09-34-36","Firewood",3,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","low rainfall and deforestation"
"58-09-34-36","Sand, stone, mud",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"94-78-30-89","Firewood",12,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","increased population"
"94-78-30-89","Small game (warthog, duiker, turtle, wild birds)",3,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"97-62-61-29","Firewood",5,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"16-35-49-05","Firewood",10,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"18-48-69-27","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","continued collecting of firewood."
"18-48-69-27","Timber or poles",20,"Numbers","","Yes",20,"Numbers","","No",20,"No",,"Slight decrease","Slight decrease","","due to continued harvest of timber for various reasons such as making canoe."
"30-61-23-28","Firewood",10,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"91-09-11-51","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Slight increase","elephants will continue bringing down trees hence we will firewood available through out.",""
"03-15-59-01","Firewood",8,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high practice of timber and deforestation"
"51-88-98-79","Firewood",12,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high population and high practice of deforestation"
"51-88-98-79","Sand, stone, mud",50,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","the population is high in the villages"
