interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"69-02-12-40","No",,,,,,,,,,,"",,1,,"No"
"68-49-12-16","No",,,,,,,,,,,"",,25,,"No"
"47-72-15-93","No",,,,,,,,,,,"",,25,,"No"
"46-77-79-60","No",,,,,,,,,,,"",,10,,"No"
"54-41-53-68","No",,,,,,,,,,,"",,25,,"No"
"35-84-29-80",,,,,,,,,,,,"",,,,
"82-89-49-08",,,,,,,,,,,,"",,,,
"13-17-77-46","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,300,"No"
"87-42-29-56","No",,,,,,,,,,,"",,55,,"No"
"24-84-60-85","No",,,,,,,,,,,"",,1,,"No"
"78-85-83-52","No",,,,,,,,,,,"",,1,,"No"
"78-33-54-01",,,,,,,,,,,,"",,,,
"54-69-71-08","No",,,,,,,,,,,"",,45,,"No"
"30-10-42-29","No",,,,,,,,,,,"",,45,,"No"
"52-71-69-48","No",,,,,,,,,,,"",,1,,"No"
"88-38-32-86",,,,,,,,,,,,"",,,,
"78-51-51-91",,,,,,,,,,,,"",,,,
"98-42-68-21","No",,,,,,,,,,,"",,18,,"No"
"23-92-64-64","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,280,"No"
"33-60-76-52","No",,,,,,,,,,,"",,25,,"No"
"99-53-97-21","No",,,,,,,,,,,"",,45,,"No"
"35-30-07-09","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",10,500,"No"
"84-39-86-14","No",,,,,,,,,,,"",,5,,"No"
"33-93-88-48","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",30,100,"No"
"93-94-24-13","No",,,,,,,,,,,"",,1,,"No"
"02-86-42-10",,,,,,,,,,,,"",,,,
"18-90-95-90","No",,,,,,,,,,,"",,40,,"No"
"71-80-40-68","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,75,"No"
"03-80-12-55","No",,,,,,,,,,,"",,1,,"No"
"03-05-82-85","No",,,,,,,,,,,"",,47,,"No"
"96-34-34-83","No",,,,,,,,,,,"",,25,,"No"
"84-86-67-50","No",,,,,,,,,,,"",,26,,"No"
"65-50-61-63",,,,,,,,,,,,"",,,,
"14-25-07-27","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",1,300,"No"
"95-81-39-58","No",,,,,,,,,,,"",,1,,"No"
"63-48-87-87","No",,,,,,,,,,,"",,26,,"No"
