interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"51-16-15-92","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,50,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"63-16-06-54","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"32-07-75-14","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","No","No","No","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"23-46-49-04","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"81-47-15-41","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,180,"No",,,,,,,,,,,,,,,"No","Yes","No","Yes","No","No",
"74-82-45-40","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"71-03-17-29","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"22-02-08-34","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"35-24-65-37","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,120,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"94-94-59-77","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,300,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"62-18-60-04","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,120,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"13-57-44-05","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,33,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"53-63-07-20","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","Yes","No","No","No",,50,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"67-75-50-83","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"02-25-92-18","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
