interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"80-21-91-02","Hectares","",1.5,0,0,0,.16,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",.08,"No","No","Yes","No",,1,"Slight decrease","Slight decrease","No",,,"",1,"Yes","Residential"
"22-74-67-59","Hectares","",0,0,0,20,.16,0,1.5,,,,"Communally owned","Communally owned",,"Communally owned","Yes","Government","","Nowhere","","No","Very likely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",20,"Yes","No","No","No",,0,"The same","The same","No",,,"",2,"No","TOO OLD TO MAINTAIN THEM"
"88-01-88-32","Hectares","",2,0,0,0,.1,0,0,"Communally owned",,,,"Communally owned",,,"Yes","Other individuals","","LC Court","","Yes","Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",2,"Yes","No","No","No",,0,"Slight increase","Slight increase","No",,,"",2,"Yes","For crop production"
"98-88-56-41","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","For building construction"
"84-73-38-30","Hectares","",6,0,0,0,.16,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,13,"Slight decrease","Massive decrease","No",,,"",1,"Yes","Because she has kids and would like to keep one of the plots for them"
"93-79-44-00","Hectares","",0,0,0,0,.12,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"Yes","ploughing field"
"26-07-22-36","Hectares","",0,0,0,0,.16,0,2,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"The same","Slight decrease","No",,,"",2,"Yes","RESIDENCIAL PLOT"
"55-76-99-68","Hectares","",0,0,0,0,.1,0,0,,,,,"Communally owned",,,"Yes","Other individuals","","LC Court","","No","Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight increase","No",,,"",0,"Yes","For residential purposes"
"38-33-66-67","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","For crop production"
"16-65-54-37","Hectares","",0,0,0,0,.14,0,.16,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"unlikely","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No",,"No",,,,,,,4,"Slight increase","Slight increase","No",,,"",0,"Yes","Business plot"
