interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"79-34-34-89","Firewood",2,"Tonnes","","No",,,"",,,"Yes",400,"The same","Slight decrease","",""
"07-03-46-78","Firewood",1,"Tonnes","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","overharvesting"
"52-55-71-22","Firewood",3,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"42-79-46-81","Firewood",4,"Wheelbarrow","","No",,,"",,,"No",,"The same","Massive decrease","",""
"42-79-46-81","Wild fruits",2,"Basins","","No",,,"",,,"No",,"The same","Massive decrease","",""
"39-12-44-07","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","many rules and regulations on fetching firewood in the area"
"39-12-44-07","Wild fruits",1,"Other (please specify)","12.5kg bag","No",,,"",,,"No",,"The same","The same","",""
"21-92-10-43","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people harvest to use them"
"19-83-50-72","Firewood",1,"Tonnes","","No",,,"",,,"Yes",800,"Massive decrease","Massive decrease","","More people use firewood"
"58-42-18-32","Firewood",2,"Tonnes","","No",,,"",,,"No",,"The same","Slight decrease","",""
"85-54-41-38","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"91-10-07-30","Firewood",200,"Kilograms","","No",,,"",,,"Yes",100,"The same","The same","",""
"12-91-55-52","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people are given residential plots"
"12-91-55-52","Wild fruits",2,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"74-40-02-20","Firewood",3,"Wheelbarrow","","No",,,"",,,"Yes",100,"Massive decrease","Massive decrease","","overharvesting"
"09-31-11-33","Firewood",1,"Tonnes","","No",,,"",,,"Yes",25,"The same","The same","",""
"87-08-33-34","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","too much harvesting for cooking in households"
"61-84-77-75","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"75-58-44-85","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Wildlife damage the natural resources"
"11-16-18-86","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive increase","Slight decrease","More residential plots given to people",""
"04-26-72-23","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight decrease","",""
"06-64-69-84","Firewood",1,"Tonnes","","No",,,"",,,"No",,"The same","Slight decrease","",""
