interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"86-16-04-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"42-95-35-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-69-26-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-23-96-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-90-51-93","Yes","Yes",,"Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",,400,,,,,,,,,,
"15-81-26-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-52-90-88","Yes","Yes",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",,400,,,,,,,,,,
"35-31-07-84","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"09-47-23-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-49-16-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-48-87-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-94-74-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-40-01-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33-37-06-20","Yes","Yes",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,60,,,,,,,,,,
"11-89-65-58","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"86-01-74-97","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No",,50,,,,,,,,,,
"18-63-27-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-01-02-02","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"69-53-29-77","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,400,,,,,,,,,,
"38-36-87-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-39-11-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-05-75-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-43-41-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-03-37-86","Yes","Yes",,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,120,,,,,,,,,,
"33-44-32-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-65-48-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-43-95-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-73-56-26","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,560,,,,,,,,,,
"00-16-25-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-35-63-46","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No",,400,"No","Yes","Yes","No","Yes","No","No","No","No",
"00-34-52-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-06-64-01","Yes","Yes",,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"84-33-06-87","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"85-48-53-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-17-81-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-67-46-48","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,240,,,,,,,,,,
"08-84-58-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-96-77-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-74-99-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-76-16-53","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,15,,,,,,,,,,
"14-93-43-30","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,30,,,,,,,,,,
"11-82-86-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-50-12-90","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,20,,,,,,,,,,
"81-28-91-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-17-87-24","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"98-37-88-19","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No",,60,,,,,,,,,,
"19-43-58-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-30-41-56","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,399,,,,,,,,,,
"78-32-31-52","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"37-97-45-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-52-39-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-35-75-14","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,280,,,,,,,,,,
"94-41-84-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-46-53-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-23-37-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-02-59-21","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,50,,,,,,,,,,
"19-67-63-11","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,15,,,,,,,,,,
