interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"50-01-20-35",4,"Tiles","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"67-87-75-21",9,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"53-81-28-44",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"69-29-47-18",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"22-59-76-95",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"87-80-21-51",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"21-25-86-78",7,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"28-99-62-67",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"14-08-31-40",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"43-12-71-52",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"64-05-81-04",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"52-46-02-95",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"45-07-09-59",6,"Tiles","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"52-28-82-48",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"72-80-69-88",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"17-89-78-78",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"07-52-31-91",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"99-68-20-94",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"84-66-38-33",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"39-36-01-20",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"05-30-74-26",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"22-19-53-02",3,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","no water source in the residential plot","Covered pit patrine with slab",""
"20-37-92-05",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"67-95-64-84",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"67-07-39-08",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"72-66-07-18",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"72-69-50-37",1,"Iron sheets","","Tin/iron sheets/mabaati","","Sand","","Other, Specify","source water from neighbors","Other➡️ Please specify","source toilet from neigbours"
"53-41-55-25",3,"Concrete","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"99-40-82-80",2,"Tiles","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"23-54-03-81",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"27-20-78-36",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"84-90-94-70",7,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"03-79-50-93",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"83-85-13-86",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"91-24-08-83",4,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"25-32-96-44",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"97-99-83-33",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"55-35-77-06",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"05-01-06-84",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"49-78-46-84",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"96-34-51-79",4,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"05-90-60-44",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"32-72-73-42",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"94-88-32-78",7,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"18-56-14-23",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"84-22-47-37",2,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"44-69-61-71",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"05-76-24-30",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"72-65-35-75",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"92-30-60-06",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"94-77-43-36",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"72-37-57-39",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"76-02-50-71",4,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","uses relative piped water","Covered pit patrine with slab",""
"75-53-97-04",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"61-20-94-35",6,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"33-94-27-06",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"02-07-42-94",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"48-79-63-92",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"87-31-98-00",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"68-12-26-88",1,"Other➡️ Please specify","There is no roof, house is made of thick black plastic material and tin","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"21-07-91-22",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"59-08-91-97",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"15-39-44-44",3,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"70-81-99-80",3,"Iron sheets","","Unburnt bricks with mud","","Sand","","Other, Specify","from other households","No facility/Bush/polythene",""
"57-32-99-06",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"60-00-51-13",3,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Covered pit patrine with slab",""
"03-72-03-14",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"32-51-19-72",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"95-19-87-73",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"09-07-28-33",3,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","NEIGHBORS","No facility/Bush/polythene",""
"82-76-66-89",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"32-84-70-99",1,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
