interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"22-19-53-02","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"20-37-92-05","Murram/ gravel road","Well passable","No","No","No","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"67-95-64-84","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"67-07-39-08","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"72-66-07-18","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"72-69-50-37","Murram/ gravel road","Well passable","Yes","No","Yes","No","Yes","Yes","No","No",,25,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"53-41-55-25","Tarmac road","Well passable","Yes","No","No","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"99-40-82-80","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"23-54-03-81","Tarmac road","Well passable","No","No","No","No","No","No","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"27-20-78-36","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"84-90-94-70","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"03-79-50-93","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"Yes","Yes","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"83-85-13-86","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"91-24-08-83","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"25-32-96-44","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","Yes","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"97-99-83-33","Murram/ gravel road","Almost not passable","Yes","No","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"55-35-77-06","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"05-01-06-84","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,15,"Yes","No",,"No",,,,,,"Yes","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"49-78-46-84","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"96-34-51-79","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"05-90-60-44","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,2,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"32-72-73-42","Tarmac road","Well passable","No","No","No","Yes","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"94-88-32-78","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-56-14-23","Murram/ gravel road","Well passable","Yes","No","Yes","Yes","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"84-22-47-37","Murram/ gravel road","Well passable","No","No","Yes","No","Yes","No","No","No",,4,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
