interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"00-01-02-02",4,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"00-01-02-02",6,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"69-53-29-77",1,"No",,"Yes","No intention to migrate",,"",2019,2019,,,,
"69-53-29-77",2,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"69-53-29-77",3,"No",,"No","No intention to migrate",,"",,,,,,
"38-36-87-54",1,"No",,"No","No intention to migrate",,"",,,,,,
"38-36-87-54",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-39-11-89",1,"No",,"No","No intention to migrate",,"",,,,,,
"96-39-11-89",2,"No",,"No","No intention to migrate",,"",,,,,,
"62-05-75-13",1,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"62-05-75-13",2,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"62-05-75-13",6,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"62-05-75-13",7,"No",,"No","Yes permanently migrate","Capital city","",,,,,,
"36-43-41-97",1,"Yes","Yes","No",,,"",2023,2023,1,1,900,"Spouse"
"36-43-41-97",2,"Yes","No","Yes",,,"",2022,2022,,,,
"12-03-37-86",1,"No",,"No","No intention to migrate",,"",,,,,,
"12-03-37-86",2,"No",,"No","No intention to migrate",,"",,,,,,
"12-03-37-86",4,"No",,"No","No intention to migrate",,"",,,,,,
"33-44-32-83",1,"No",,"No","No intention to migrate",,"",,,,,,
"33-44-32-83",2,"No",,"No","No intention to migrate",,"",,,,,,
"33-44-32-83",3,"No",,"No","No intention to migrate",,"",,,,,,
"33-44-32-83",4,"No",,"No","No intention to migrate",,"",,,,,,
"39-65-48-99",1,"No",,"No","No intention to migrate",,"",,,,,,
"85-43-95-57",1,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"85-43-95-57",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"85-43-95-57",3,"No",,"No","No intention to migrate",,"",,,,,,
"07-73-56-26",1,"No",,"No","No intention to migrate",,"",,,,,,
"07-73-56-26",2,"No",,"No","No intention to migrate",,"",,,,,,
"07-73-56-26",3,"No",,"No","No intention to migrate",,"",,,,,,
"07-73-56-26",4,"No",,"No","No intention to migrate",,"",,,,,,
"07-73-56-26",5,"No",,"No","No intention to migrate",,"",,,,,,
"07-73-56-26",6,"No",,"No","No intention to migrate",,"",,,,,,
"00-16-25-60",1,"Yes","No","No",,,"",2022,2023,,,,
"00-16-25-60",2,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"00-16-25-60",4,"Yes","No","No",,,"",2022,2022,,,,
"05-35-63-46",1,"No",,"No","No intention to migrate",,"",,,,,,
"05-35-63-46",2,"No",,"No","No intention to migrate",,"",,,,,,
"05-35-63-46",3,"Yes","No","No",,,"",2020,2020,,,,
"05-35-63-46",7,"No",,"No","No intention to migrate",,"",,,,,,
"00-34-52-14",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"00-34-52-14",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"00-34-52-14",3,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"00-34-52-14",4,"No",,"No","No intention to migrate",,"",,,,,,
"00-34-52-14",7,"No",,"No","No intention to migrate",,"",,,,,,
"81-06-64-01",1,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"81-06-64-01",2,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"81-06-64-01",3,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"81-06-64-01",4,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"84-33-06-87",1,"Yes","No","No",,,"",2019,2023,,,,
