interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"81-05-32-56",1,8,"Members that left - Other (Specify)","Has another house at the home village","Female","Self/Head","71","Never Married","Basubiya","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Completed desired schooling","",,"","","","Yes","Yes","Yes"
"81-05-32-56",2,12,,"","Male","Child/Adopted Child","41",,"Rastafarian",,"","Form 5","No","Completed desired schooling","",,"","","","No",,
"81-05-32-56",3,5,"New arrivals - Other economic reasons","","Male","Child/Adopted Child","33",,"Subiya",,"","Standard 5","No","Completed desired schooling","",,"","","","Yes","Yes","Yes"
"30-09-94-93",1,12,,"","Female","Self/Head","66","Widow/ Widower","Kalanga","Protestant demoninantions (incl all non-catholic denominations)","","Form 3","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"30-09-94-93",2,12,,"","Female","Other Relative","50",,"Kalanga",,"","Standard 7","No","Completed desired schooling","",,"","","","Yes","Yes","Yes"
"30-09-94-93",3,12,,"","Female","Grandchild","24",,"Kalanga",,"","Form 3","No","Too expensive","",,"","","","Yes","Yes","No"
"30-09-94-93",4,12,,"","Female","Grandchild","23",,"Kalanga",,"","Form 5","Yes",,"",,"","","","Yes","Yes","No"
"30-09-94-93",5,12,,"","Female","Grandchild","14",,"Kalanga",,"","Standard 7","Yes",,"",,"","","","No",,
"30-09-94-93",6,12,,"","Female","Grandchild","2",,"Kalanga",,"",,"No","Other","She is minor",,"","","",,,
"30-09-94-93",7,12,,"","Female","Grandchild","1",,"Mmirwa",,"",,"No","Other","She is a minor",,"","","",,,
"85-23-91-16",1,7,"New arrivals - Bad living conditions at home","","Male","Self/Head","41","Married monogamously","Subiya","Non-religious","","Form 4","No","Poor academic progress","",,"","","","Yes","Yes","Yes"
"53-06-23-41",1,12,,"","Male","Self/Head","37","Never Married","kalanga","Protestant demoninantions (incl all non-catholic denominations)","","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"53-06-23-41",2,12,,"","Female","Wife/Husband","26",,"molete",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"53-06-23-41",3,6,"New arrivals - New born","","Male","Child/Adopted Child","Less than 1 year",,"kalanga",,"",,"No","Other","still a baby",,"","","",,,
"53-06-23-41",4,12,,"","Male","Child/Adopted Child","5",,"kalanga",,"","No formal education","No","Other","awaiting to Start school",,"","","",,,
"93-66-25-28",1,12,,"","Male","Self/Head","42","Never Married","Kalanga","Other➡️ Please specify","Christianity","Form 2","No","Poor academic progress","",,"","","","Yes","Yes","No"
"93-66-25-28",2,12,,"","Female","Other Non-Relative","44",,"Kalanga",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"93-66-25-28",3,12,,"","Male","Child/Adopted Child","10",,"Kalanga",,"","Standard 3","Yes",,"",,"","","",,,
"43-14-97-16",1,12,,"","Female","Self/Head","86","Widow/ Widower","Basubiya","African Traditional religion","","No formal education","No","Had to help with family","",,"","","","No",,
"43-14-97-16",2,12,,"","Female","Child/Adopted Child","57",,"Basubiya",,"","Standard 7","No","Poor academic progress","",,"","","","No",,
"43-14-97-16",3,12,,"","Female","Son/Daughter-In-Law","20",,"Basubiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
