interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"09-31-11-33","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"87-08-33-34","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"61-84-77-75","No","No","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"75-58-44-85","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"11-16-18-86","Yes","Yes","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"04-26-72-23","No","No","Yes","No","Yes",3800,"Yes","No","Yes","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"54-13-05-65","No","No","Yes","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"23-66-97-33","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"06-64-69-84","No","No","Yes","No","Yes",400,"Yes","No","Yes","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"56-62-10-52","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"05-04-82-73","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"03-81-35-88","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"87-65-62-49","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"95-74-95-07","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"51-31-85-01","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
