interview__key,ctry,dist,village,local_name,interviewed_consent,res_head,res_rel,interview_possible
"08-72-41-04","Botswana","Chobe","PANDAMATENGA","New stands",1,"Head of the household",,"Yes"
"48-20-18-94","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"56-53-54-49","Botswana","Chobe","PANDAMATENGA","New stance",1,"Head of the household",,"Yes"
"01-08-40-07","Botswana","Chobe","PANDAMATENGA","New stands",1,"Head of the household",,"Yes"
"74-08-40-24","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"14-31-43-40","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"24-80-99-00","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"40-28-46-68","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Representative of the head","Spouse","Yes"
"31-20-26-05","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Representative of the head","Spouse","Yes"
"37-39-15-65","Botswana","Chobe","MUCHINJE/MABELE","Bothoka",1,"Representative of the head","Grandson","Yes"
"45-44-88-31","Botswana","CHOBE DISTRICT","KASANE","KASANE PLATEAU",1,"Representative of the head","Spouse","Yes"
"91-91-62-09","Botswana","Chobe","KAZUNGULA","New stands",1,"Representative of the head","Spouse","Yes"
"88-82-89-39","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"79-34-34-89","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"07-03-46-78","Botswana","chobe","KAZUNGULA","new stance",1,"Head of the household",,"Yes"
"52-55-71-22","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"42-79-46-81","Botswana","CHOBE DISTRICT","PANDAMATENGA","NEW STANCE",1,"Head of the household",,"Yes"
"39-12-44-07","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Niece","Yes"
"21-92-10-43","Botswana","Chobe","PANDAMATENGA","New stands",1,"Head of the household",,"Yes"
"29-41-63-44","Botswana","Chobe","KASANE","Kgapamadi",1,"Head of the household",,"Yes"
"19-83-50-72","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
