interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"25-99-22-65",2.2,33.78999999999999,1.479889502762431,5.08,.2,1.84,8.699999999999999,1.19,25.04304709141274,5.971184573002755,1.348925619834711,11.54,1.65,2.739168975069252,5.980828729281768,108.7530444913637,"00.02:18:12",138.2,"2023-05-17","07:23:20"
"86-16-04-54",3.8,33.52,.5600000000000001,3.85,.14,.36,11.52,1.19,19.17,5.65,.63,11.66,2.3,3.14,3.52,101.01,"00.01:47:22",107.3666666666667,"2023-05-25","12:05:08"
"42-95-35-09",1.5,21.81,2.2,5.05,.38,7.24,14.42,3.39,37.748,7.26,2.694,9,1.45,1.79,2.98,118.912,"00.02:36:01",156.0166666666667,"2023-05-25","11:38:28"
"54-69-26-46",2.39,15.92,.66,6.52,.14,.5600000000000001,8.83,5.44,33.22,9.029999999999999,2.694,11.19,1.69,5.361999999999998,2.4,106.046,"00.02:09:19",129.3166666666667,"2023-05-25","07:20:11"
"92-23-96-13",1.65,9.4,.65,3.36,8.519999999999989,2.039313186813187,6.2,1.9,18.87,3.79,1.16,7.757999999999999,1.819612188365651,2.739168975069252,2.76,72.61609435024808,"00.01:19:52",79.86666666666666,"2023-05-25","11:45:58"
"22-90-51-93",2.38,12.81,.51,4.91,1.267822580645161,2.039313186813187,14.34,3.17,24.56,5.98,2.33,7.757999999999999,1.13,2.739168975069252,4.7,90.6243047425276,"00.02:14:51",134.85,"2023-05-25","07:13:07"
"15-81-26-28",3.18,11.65,1.479889502762431,2.78,.28,.07,4.946000000000001,1.19,15.208,4.75,1.05,14.83066666666667,1.4,2.739168975069252,3.37,68.92372514449835,"00.00:58:30",58.5,"2023-05-30","07:16:45"
"20-52-90-88",1.4,9.960000000000001,1.52,2.734,.1,2.039313186813187,7.13,4.15,34.58,5.971184573002755,2.24,14.83066666666667,1.819612188365651,3.68,2.208,94.36277661484826,"00.02:01:46",121.7666666666667,"2023-05-25","12:01:11"
"35-31-07-84",1.6,14.42,2.94,5.58,.22,8.279999999999999,11.44,4.31,18.66,5.08,2.694,16.55,2.21,2.64,17.36199999999999,113.986,"00.01:41:40",101.6666666666667,"2023-05-25","11:36:37"
"09-47-23-08",1.59,12.43,1.67,7.48,.15,2.039313186813187,15.33599999999999,2.65,25.04304709141274,8.359999999999999,1.98,14.83066666666667,3.044,1.77,6.21,104.5830269448926,"00.03:05:07",185.1166666666667,"2023-05-30","07:11:33"
"03-49-16-10",1.91,25.08,.99,2.91,.18,.4,9.141722222222223,2.58,24.11,4.89,.49,24.76,2.58,3.97,5.980828729281768,109.972550951504,"00.01:37:38",97.63333333333334,"2023-05-26","08:01:38"
