interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"15-08-96-97","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"15-08-96-97","Timber or poles",56,"Numbers","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"59-27-01-58","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","People are increasing in numbers"
"06-40-81-20","Firewood",35,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"06-40-81-20","Sand, stone, mud",30,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"63-00-59-35","Firewood",85,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"63-00-59-35","Timber or poles",300,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"63-00-59-35","Sand, stone, mud",60,"Basins","","No",,,"",,,"Yes",1000,"The same","The same","",""
"20-12-20-33","Firewood",50,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","too many people use firewood"
"13-16-46-47","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"13-16-46-47","Other➡️specify",100,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"12-47-95-08","Firewood",266,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Increasing population"
"49-36-47-00","Firewood",10,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","people increased in numbers."
"49-36-47-00","Honey",9,"Grams","","Yes",10,"Liters","","No",100,"No",,"The same","Slight decrease","",""
"69-98-34-60","Firewood",20,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too far away from home"
"11-55-67-72","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increasing population"
"11-55-67-72","Timber or poles",10,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"11-55-67-72","Wild fruits",1,"Basins","","No",,,"",,,"No",,"The same","The same","",""
