interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"12-94-76-31",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 40s",12,6
"25-74-03-84",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Subia","","In their 40s",2,0
"98-23-98-25",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",5,7
"98-23-98-25",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",10,10
"98-23-98-25",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",6,10
"01-01-07-49",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 50s",15,0
"01-01-07-49",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 60s",2,0
"01-01-07-49",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Subia","","In their 40s",23,0
"05-21-83-90",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Lozi","","In their 50s",10,10
"05-21-83-90",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Lozi","","&gt;70",5,5
"05-21-83-90",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Lozi","","In their 40s",4,4
"77-16-48-10",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","&gt;70",20,20
"77-16-48-10",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Lozi","","In their 60s",20,20
"77-16-48-10",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Subia","","In their 30s",20,20
"75-23-18-05",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","&gt;70",20,20
"75-23-18-05",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",15,15
"83-84-60-99",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 50s",6,1
"56-18-51-85",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Subia","","&gt;70",20,2
"56-18-51-85",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Subia","","In their 60s",20,3
"56-18-51-85",3,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Women","Subia","","In their 40s",15,2
"26-38-66-11",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 50s",15,3
"46-68-27-34",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 40s",5,4
"46-68-27-34",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 40s",3,4
"78-16-14-09",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 60s",4,3
"78-16-14-09",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 50s",4,3
"78-16-14-09",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 60s",5,3
"01-32-09-43",1,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Men","Subia","","In their 50s",10,5
"01-32-09-43",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 50s",2,5
"01-32-09-43",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 50s",3,5
