interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"08-77-46-38","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-57-73-17","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"48-05-99-35","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"67-13-56-73","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-33-85-90","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"10-54-97-94","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-35-50-04","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"62-96-39-45","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"44-55-26-98","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-47-96-78","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"18-43-28-32","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-21-15-22","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"87-15-89-67","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"79-26-09-22","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"75-05-90-14","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"24-85-21-24","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"91-48-78-65","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"32-52-77-66","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-89-84-58","Yes","Yes","Yes","No","Yes",60,"Yes","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"59-38-71-66","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"02-07-52-84","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"77-80-39-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"72-51-39-42","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"87-64-80-93","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"36-99-07-56","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"75-89-92-79","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"44-34-32-32","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No"
"53-52-93-15","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-35-74-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"23-82-30-50","No","Yes","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"76-76-95-07","No","Yes","No","No","Yes",2000,"No","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"69-18-54-45","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"99-14-10-16","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"55-02-31-58","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"55-65-32-92","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"66-00-67-40","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"41-51-06-54","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-18-54-62","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"73-70-79-76","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"40-83-72-17","Yes","No","No","No","Yes",2200,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"23-74-18-51","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"18-88-43-52","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"72-37-85-07","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"84-90-52-18","No","No","Yes","No","Yes",400,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"94-23-16-05","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"52-32-19-59","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
