interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"57-48-46-10",2000,0,0,0,20000,0,0,0
"17-87-43-63",1150,0,0,0,1200,0,140,150
"11-23-87-11",,,,,,,,
"33-90-70-88",,,,,,,,
"42-88-20-46",0,0,0,0,0,0,0,0
"56-60-42-49",,,,,,,,
"06-49-16-95",0,0,0,0,500,0,0,200
"14-59-43-81",0,0,0,0,2000,0,0,0
"43-19-04-75",150,0,0,0,2800,0,0,0
"25-55-58-39",,,,,,,,
"56-55-71-21",,,,,,,,
"26-16-97-29",,,,,,,,
"94-40-34-45",,,,,,,,
"57-09-13-31",15,0,0,0,0,0,200,200
"06-81-92-15",0,0,0,0,0,0,500,1500
"71-51-46-91",0,0,0,0,1400,0,0,0
"99-70-86-40",,,,,,,,
"54-72-28-02",20,20,2500,0,3000,0,0,0
"93-06-95-85",100,0,0,0,0,0,0,0
"44-70-83-36",,,,,,,,
"76-32-33-95",480,0,0,0,0,0,0,0
"01-38-25-96",,,,,,,,
"89-39-79-72",0,0,0,0,600,0,0,0
"00-49-63-51",,,,,,,,
"76-58-89-37",,,,,,,,
"20-56-52-98",,,,,,,,
"64-47-42-17",0,0,0,0,0,0,0,0
"13-81-47-95",0,0,0,0,0,0,0,0
"29-99-72-08",290,0,0,0,0,0,0,0
"24-83-83-50",,,,,,,,
"47-22-90-00",0,0,0,0,800,0,0,0
"98-86-29-38",,,,,,,,
"38-47-12-60",200,0,0,0,750,0,0,0
"28-88-27-77",0,0,0,0,0,0,0,0
"29-11-74-01",,,,,,,,
"23-17-08-61",0,0,0,0,0,0,0,0
"09-04-42-43",500,0,0,0,1000,0,0,0
"60-44-87-63",1350,0,0,0,0,0,150,150
"37-91-11-53",300,0,0,0,1200,0,0,0
"24-83-18-16",600,0,0,0,600,0,100,500
"43-94-30-73",,,,,,,,
"98-89-20-76",,,,,,,,
"18-82-94-56",390,0,0,0,0,0,0,0
"15-08-96-97",20,0,0,0,0,0,0,0
"59-27-01-58",,,,,,,,
"06-40-81-20",,,,,,,,
"63-00-59-35",,,,,,,,
"20-12-20-33",,,,,,,,
"13-16-46-47",,,,,,,,
"12-47-95-08",0,0,0,0,3000,0,0,0
"49-36-47-00",500,0,0,0,0,0,0,1000
"69-98-34-60",,,,,,,,
"11-55-67-72",0,0,0,0,0,0,0,0
"86-18-52-98",640,0,0,0,300,0,0,0
"59-98-46-38",0,0,0,0,200,0,0,0
"87-83-58-77",,,,,,,,
"15-59-01-11",,,,,,,,
"74-82-76-84",500,0,0,0,5000,0,0,0
"08-93-57-76",,,,,,,,
"70-90-57-92",,,,,,,,
"50-31-04-37",0,0,0,0,800,0,0,0
"67-02-08-74",550,0,0,0,1000,0,0,0
"53-15-78-38",240,0,0,900,0,0,0,0
"32-33-43-26",0,0,0,0,0,0,0,0
"46-04-74-49",0,0,0,2500,0,0,0,0
"35-13-76-39",900,0,0,0,1300,0,0,0
"16-06-75-38",0,0,0,0,1000,0,0,0
"27-27-07-57",540,0,0,0,0,0,0,0
"02-68-96-18",,,,,,,,
"43-77-79-21",250,0,0,0,800,0,0,0
"11-26-50-63",0,0,0,0,0,0,0,0
"28-01-01-55",400,0,0,0,2000,0,0,0
"32-20-61-73",0,0,0,0,1400,0,0,0
"20-30-02-96",0,0,0,0,0,0,1000,0
"91-05-38-43",600,0,0,3000,4000,0,0,0
"44-19-28-63",,,,,,,,
"72-93-96-93",,,,,,,,
"97-14-34-77",0,0,0,0,0,0,0,0
"23-83-04-10",800,0,0,0,0,0,0,0
"66-67-12-43",0,0,0,0,400,0,0,0
"10-88-25-17",,,,,,,,
"15-20-57-47",,,,,,,,
"36-81-71-64",,,,,,,,
"34-71-72-72",550,0,0,0,2000,0,0,0
"66-60-15-44",1000,0,0,0,4000,0,0,0
"86-30-61-13",0,0,0,0,0,0,0,0
"36-54-39-30",,,,,,,,
"74-23-76-31",60,0,0,0,0,0,0,0
"22-34-78-24",,,,,,,,
"78-05-45-34",0,0,0,0,0,0,0,0
"05-02-80-96",520,0,0,0,3600,0,0,0
"83-39-85-57",0,0,0,0,0,0,0,0
"02-11-27-45",,,,,,,,
