interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"38-84-78-59",7,12,,"","Female","Child/Adopted Child",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"70-09-32-42",1,12,,"","Female","Self/Head",63,"Widow/ Widower","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"70-09-32-42",2,12,,"","Male","Grandchild",16,"Never Married","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"76-04-07-19",1,12,,"","Female","Self/Head",83,"Widow/ Widower","Mafwe","","Catholic","","No formal education","No","Not willing to attend further","",,"","","","No",,
"76-04-07-19",2,12,,"","Female","Grandchild",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"70-32-51-26",1,12,,"","Female","Self/Head",36,"Divorced /Separated","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","Yes","No"
"70-32-51-26",2,12,,"","Female","Mother/Father",64,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Parents did not want","",,"","","","No",,
"70-32-51-26",3,12,,"","Male","Other Relative",59,"Divorced /Separated","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Had to help with farm work","",,"","","","No",,
"70-32-51-26",4,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","too young",,"","","",,,
"70-32-51-26",5,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"70-32-51-26",6,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"Yes",,"",240,"","","",,,
"56-61-77-64",1,12,,"","Male","Self/Head",36,"Married monogamously","Lozi","","Other➡️ Please specify","New Apostolic church","Primary 2","No","Too expensive","",,"","","","No",,
"56-61-77-64",2,12,,"","Female","Wife/Husband",29,"Married monogamously","Lozi","","Other➡️ Please specify","New Apostolic church","Primary 7","No","Too expensive","",,"","","","No",,
"56-61-77-64",3,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"56-61-77-64",4,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"No","Other","Too young",,"","","",,,
"50-82-91-34",1,12,,"","Female","Mother/Father",65,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Parents did not want","",,"","","","Yes","No","Yes"
"50-82-91-34",2,12,,"","Female","Niece/Nephew",19,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Poor academic progress","",,"","","","No",,
"50-82-91-34",3,12,,"","Female","Niece/Nephew",1,,,"",,"",,"No","Other","Still a toddler",,"","","",,,
"83-60-63-11",1,12,,"","Male","Self/Head",48,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Poor academic progress","",,"","","","Yes","No","Yes"
"83-60-63-11",2,12,,"","Female","Wife/Husband",42,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","Yes","No","Yes"
"83-60-63-11",3,12,,"","Male","Child/Adopted Child",13,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"83-60-63-11",4,12,,"","Male","Child/Adopted Child",11,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"83-60-63-11",5,12,,"","Male","Child/Adopted Child",17,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"83-60-63-11",6,12,,"","Male","Child/Adopted Child",4,,,"",,"",,"No","Other","He is still a kid",,"","","",,,
"83-60-63-11",7,12,,"","Female","Child/Adopted Child",24,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Other","Lack of finances to take her to school",,"","","","No",,
"80-51-82-08",1,12,,"","Male","Self/Head",60,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Had to help at home","",,"","","","Yes","No","Yes"
"80-51-82-08",2,12,,"","Female","Mother/Father",85,"Widow/ Widower","Mafwe","","Other➡️ Please specify","seventh day Adventist church","No formal education","No","Had to help at home","",,"","","","No",,
"80-51-82-08",3,12,,"","Female","Child/Adopted Child",34,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Pregnancy","",,"","","","No",,
"80-51-82-08",4,12,,"","Male","Child/Adopted Child",25,"Never Married","Lozi","","Other➡️ Please specify","seventh day Adventist church","Primary 2","No","Not willing to attend further","",,"","","","Yes","No","Yes"
"80-51-82-08",5,12,,"","Female","Niece/Nephew",11,"Never Married","Lozi","","Other➡️ Please specify","seventh day Adventist church","Primary 4","Yes",,"",,"","","","No",,
"80-51-82-08",6,12,,"","Female","Grandchild",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"80-51-82-08",7,12,,"","Male","Grandchild",4,,,"",,"",,"No","Other","still young",,"","","",,,
"49-80-85-60",1,12,,"","Male","Self/Head",46,"Married monogamously","Mafwe","","Other➡️ Please specify","Seventh day Adventist church","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"49-80-85-60",2,12,,"","Female","Wife/Husband",38,"Married monogamously","Mafwe","","Other➡️ Please specify","Seventh day Adventist church","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"49-80-85-60",3,12,,"","Male","Child/Adopted Child",16,"Never Married","Mafwe","","Other➡️ Please specify","seventh day Adventist church","Secondary school Year 2","Yes",,"",,"","","","No",,
"49-80-85-60",4,12,,"","Female","Child/Adopted Child",12,"Never Married","Mafwe","","Other➡️ Please specify","Seventh day Adventist church","Primary 6","Yes",,"",,"","","","No",,
"49-80-85-60",5,12,,"","Male","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",600,"","","",,,
"49-80-85-60",6,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"81-64-86-08",1,12,,"","Male","Self/Head",29,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","Yes","No","Yes"
"81-64-86-08",2,12,,"","Female","Wife/Husband",23,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Parents did not want","",,"","","","Yes","No","Yes"
"81-64-86-08",3,12,,"","Female","Child/Adopted Child",7,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"81-64-86-08",4,12,,"","Male","Child/Adopted Child",4,,,"",,"",,"No","Other","Too young to be in school",,"","","",,,
"81-64-86-08",5,12,,"","Male","Wife/Husband",3,,,"",,"",,"No","Other","Too young to be in school",,"","","",,,
"33-82-62-40",1,12,,"","Male","Self/Head",61,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"33-82-62-40",2,12,,"","Female","Wife/Husband",56,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"33-82-62-40",3,12,,"","Female","Grandchild",3,,,"",,"",,"Yes",,"",0,"","","",,,
"33-82-62-40",4,12,,"","Female","Grandchild",17,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"33-82-62-40",5,12,,"","Female","Grandchild",20,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"33-82-62-40",6,12,,"","Female","Other Non-Relative",17,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Poor academic progress","",,"","","","No",,
"33-82-62-40",7,2,"New arrivals - New born","","Male","Grandchild",2,,,"",,"",,"No","Other","still a baby",,"","","",,,
"56-48-48-33",1,12,,"","Male","Self/Head",43,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"56-48-48-33",2,12,,"","Female","Wife/Husband",22,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Completed desired schooling","",,"","","","No",,
"56-48-48-33",3,12,,"","Female","Child/Adopted Child",1,,,"",,"",,"No","Other","Still Young",,"","","",,,
"19-43-49-26",1,8,"Members that left - Other (Specify)","visit other family members","Female","Self/Head",45,"Divorced /Separated","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Pregnancy","",,"","","","Yes","No","Yes"
"19-43-49-26",2,9,"Members that left - Other (Specify)","sometimes he stays at the farm","Male","Child/Adopted Child",23,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"19-43-49-26",3,11,"Members that left - Other (Specify)","visit other family members","Female","Child/Adopted Child",18,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","Yes",,"",,"","","","No",,
"19-43-49-26",4,10,"Members that left - Other (Specify)","visit other relatives","Female","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"52-63-91-75",1,12,,"","Male","Self/Head",53,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","No",,
"52-63-91-75",2,12,,"","Female","Wife/Husband",27,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Poor academic progress","",,"","","","No",,
"52-63-91-75",3,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","still young",,"","","",,,
"52-63-91-75",4,12,,"","Female","Child/Adopted Child",28,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"52-63-91-75",5,12,,"","Female","Child/Adopted Child",24,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Too expensive","",,"","","","No",,
"52-63-91-75",6,12,,"","Female","Child/Adopted Child",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","Yes",,"",,"","","","No",,
"52-63-91-75",7,12,,"","Male","Grandchild",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"52-63-91-75",8,12,,"","Female","Grandchild",4,,,"",,"",,"Yes",,"",360,"","","",,,
"52-63-91-75",9,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"52-63-91-75",10,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"60-93-32-66",1,12,,"","Female","Self/Head",44,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Had to help at home","",,"","","","No",,
"60-93-32-66",2,12,,"","Male","Wife/Husband",45,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Poor academic progress","",,"","","","No",,
"60-93-32-66",3,12,,"","Male","Child/Adopted Child",24,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"60-93-32-66",4,12,,"","Male","Child/Adopted Child",15,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"60-93-32-66",5,12,,"","Male","Child/Adopted Child",15,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"60-93-32-66",6,12,,"","Female","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","No","Too far away","",,"","","",,,
"37-44-93-64",1,12,,"","Female","Self/Head",52,"Never Married","Subia","","Catholic","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"37-44-93-64",2,12,,"","Male","Grandchild",2,,,"",,"",,"No","Other","Too young",,"","","",,,
"37-44-93-64",3,12,,"","Female","Grandchild",14,"Never Married","Subia","","Catholic","","Primary 6","Yes",,"",,"","","","No",,
"37-44-93-64",4,12,,"","Male","Child/Adopted Child",29,"Never Married","Subia","","Catholic","","No formal education","No","Other","Mental illness.",,"","","","No",,
"83-19-87-02",1,12,,"","Male","Self/Head",52,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"83-19-87-02",2,12,,"","Female","Wife/Husband",51,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Further schooling not available","",,"","","","Yes","Yes","No"
"83-19-87-02",3,12,,"","Female","Child/Adopted Child",23,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","No",,
"83-19-87-02",4,12,,"","Female","Child/Adopted Child",13,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"83-19-87-02",5,12,,"","Female","Child/Adopted Child",3,,,"",,"",,"No","Other","Still Young",,"","","",,,
"83-26-13-29",1,12,,"","Male","Sister/Brother",57,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Poor academic progress","",,"","","","Yes","Yes","No"
"02-40-91-04",1,12,,"","Female","Self/Head",45,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Poor academic progress","",,"","","","No",,
"02-40-91-04",2,12,,"","Female","Grandchild",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"02-40-91-04",3,12,,"","Male","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"02-40-91-04",4,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","young",,"","","",,,
"31-74-57-88",1,12,,"","Female","Self/Head",32,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"31-74-57-88",2,12,,"","Male","Wife/Husband",31,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Too expensive","",,"","","","No",,
"31-74-57-88",3,12,,"","Female","Child/Adopted Child",14,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"31-74-57-88",4,12,,"","Female","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"31-74-57-88",5,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","Still Young",,"","","",,,
"09-16-66-27",1,12,,"","Female","Self/Head",54,"Divorced /Separated","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"09-16-66-27",2,12,,"","Female","Grandchild",19,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"02-99-67-45",1,12,,"","Female","Self/Head",90,"Widow/ Widower","Other, Specify","totela","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Parents did not want","",,"","","","No",,
"02-99-67-45",2,12,,"","Female","Child/Adopted Child",53,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"02-99-67-45",3,12,,"","Male","Grandchild",26,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Completed desired schooling","",,"","","","No",,
"18-26-92-76",1,12,,"","Male","Self/Head",28,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","No","Yes"
"18-26-92-76",2,12,,"","Female","Wife/Husband",24,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","Yes","No","Yes"
"18-26-92-76",3,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"54-98-92-77",1,12,,"","Female","Self/Head",29,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"54-98-92-77",2,3,"New arrivals - Marriage","","Male","Wife/Husband",36,"Married monogamously","Lozi","","Catholic","","No formal education","No","I don't Know","",,"","","","No",,
"54-98-92-77",3,12,,"","Female","Child/Adopted Child",9,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"54-98-92-77",4,12,,"","Female","Child/Adopted Child",5,,,"",,"","No formal education","No","Other","still young",,"","","",,,
"54-98-92-77",5,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"94-90-21-30",1,12,,"","Female","Self/Head",67,"Widow/ Widower","Subia","","Catholic","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"34-25-16-71",1,12,,"","Male","Self/Head",79,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too far away","",,"","","","No",,
"34-25-16-71",2,12,,"","Female","Wife/Husband",60,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too far away","",,"","","","No",,
"34-25-16-71",3,2,"New arrivals - To look for work","","Male","Servant Or Servant's Relative",22,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Too far away","",,"","","","Yes","Yes","No"
"26-18-25-14",1,6,"New arrivals - To look for work","","Male","Self/Head",46,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"26-18-25-14",2,6,"New arrivals - To look for work","","Female","Wife/Husband",39,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"26-18-25-14",3,12,,"","Male","Child/Adopted Child",20,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","No",,
"62-93-86-46",1,12,,"","Female","Self/Head",75,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Had to help with farm work","",,"","","","No",,
"62-93-86-46",2,12,,"","Female","Grandchild",22,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Not willing to attend further","",,"","","","No",,
"62-93-86-46",3,12,,"","Female","Grandchild",18,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"62-93-86-46",4,12,,"","Male","Grandchild",11,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"62-93-86-46",5,12,,"","Male","Grandchild",13,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"62-93-86-46",6,12,,"","Male","Grandchild",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"62-93-86-46",7,12,,"","Male","Wife/Husband",78,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Had to help with farm work","",,"","","","No",,
"85-20-92-08",1,12,,"","Male","Self/Head",40,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Sickness or calamity in family","",,"","","","Yes","Yes","Yes"
"85-20-92-08",2,12,,"","Female","Wife/Husband",33,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Not willing to attend further","",,"","","","No",,
"85-20-92-08",3,12,,"","Male","Child/Adopted Child",2,,,"",,"",,"No","Other","young",,"","","",,,
"85-20-92-08",4,6,"New arrivals - New born","","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","new born",,"","","",,,
"65-60-16-01",1,12,,"","Male","Self/Head",32,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Other","Lack of support",,"","","","No",,
"65-60-16-01",2,12,,"","Female","Wife/Husband",22,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Other","Lack of support",,"","","","No",,
"65-60-16-01",3,12,,"","Male","Child/Adopted Child",9,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"65-60-16-01",4,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"65-60-16-01",5,12,,"","Male","Child/Adopted Child",3,,,"",,"",,"No","Other","Still a toddler",,"","","",,,
"65-60-16-01",6,12,,"","Male","Child/Adopted Child",4,,,"",,"",,"No","Other","Still a kid",,"","","",,,
"65-60-16-01",7,12,,"","Male","Child/Adopted Child",5,,,"",,"","No formal education","No","Other","still a kid",,"","","",,,
"83-41-72-29",1,12,,"","Male","Wife/Husband",28,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
"83-41-72-29",2,12,,"","Female","Self/Head",33,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Pregnancy","",,"","","","No",,
"83-41-72-29",3,12,,"","Male","Grandchild",7,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"83-41-72-29",4,12,,"","Male","Child/Adopted Child",5,,,"",,"","No formal education","No","Other","young",,"","","",,,
"83-41-72-29",5,12,,"","Female","Child/Adopted Child",15,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"83-41-72-29",6,12,,"","Male","Grandchild",4,,,"",,"",,"No","Other","young",,"","","",,,
"83-41-72-29",7,12,,"","Female","Grandchild",18,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"21-46-08-35",1,12,,"","Female","Self/Head",57,"Widow/ Widower","Lozi","","Other➡️ Please specify","Seventh Adventist Church","Primary 7","No","Other","no support",,"","","","No",,
"21-46-08-35",2,5,"Members that left - Looking for work elsewhere","","Female","Child/Adopted Child",32,"Never Married","Lozi","","Other➡️ Please specify","Seventh Adventist Church","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"21-46-08-35",3,12,,"","Male","Sister/Brother",24,"Never Married","Lozi","","Other➡️ Please specify","Seventh Adventist Church","Post secondary tertiary college","Yes",,"",,"","","","No",,
"21-46-08-35",4,12,,"","Female","Grandchild",18,"Never Married","Lozi","","Other➡️ Please specify","Seventh Adventist Church","Primary 8","No","Not willing to attend further","",,"","","","No",,
"37-32-34-84",1,12,,"","Male","Self/Head",75,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"37-32-34-84",2,12,,"","Female","Wife/Husband",65,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
"13-52-22-69",1,12,,"","Male","Self/Head",43,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","Yes","No","Yes"
"13-52-22-69",2,12,,"","Female","Wife/Husband",40,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"13-52-22-69",3,12,,"","Female","Mother/Father",79,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Parents did not want","",,"","","","No",,
"13-52-22-69",4,12,,"","Male","Child/Adopted Child",18,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"13-52-22-69",5,12,,"","Female","Child/Adopted Child",6,,,"",,"","No formal education","Yes",,"",,"","","",,,
"13-52-22-69",6,12,,"","Female","Child/Adopted Child",20,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"39-17-92-41",1,12,,"","Male","Self/Head",76,"Married polygamous","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Too expensive","",,"","","","Yes","No","Yes"
"39-17-92-41",2,12,,"","Female","Wife/Husband",60,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","No","Too far away","",,"","","","Yes","No","Yes"
"39-17-92-41",3,12,,"","Female","Other Non-Relative",29,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Too expensive","",,"","","","No",,
"39-17-92-41",4,12,,"","Female","Other Non-Relative",7,,,"",,"","No formal education","No","Too expensive","",,"","","",,,
"39-17-92-41",5,12,,"","Female","Other Non-Relative",4,,,"",,"",,"No","Too expensive","",,"","","",,,
"39-17-92-41",6,12,,"","Female","Grandchild",3,,,"",,"",,"No","Too expensive","",,"","","",,,
"39-17-92-41",7,12,,"","Female","Child/Adopted Child",21,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"39-17-92-41",8,12,,"","Male","Grandchild",7,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"33-45-72-89",1,12,,"","Male","Self/Head",56,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help with family","",,"","","","No",,
"33-45-72-89",2,12,,"","Female","Wife/Husband",58,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Had to help with family","",,"","","","No",,
"33-45-72-89",3,12,,"","Female","Grandchild",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"33-45-72-89",4,12,,"","Male","Grandchild",7,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"33-45-72-89",5,12,,"","Male","Grandchild",5,,,"",,"","No formal education","No","Other","young",,"","","",,,
"31-31-05-64",1,12,,"","Female","Self/Head",55,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Too expensive","",,"","","","No",,
"31-31-05-64",2,12,,"","Male","Child/Adopted Child",24,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Completed desired schooling","",,"","","","No",,
"31-31-05-64",3,12,,"","Male","Child/Adopted Child",15,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"31-31-05-64",4,12,,"","Female","Child/Adopted Child",15,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"31-31-05-64",5,12,,"","Male","Grandchild",9,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"31-31-05-64",6,12,,"","Female","Grandchild",14,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
