interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"53-48-83-71",4,12,,"","Male","Child/Adopted Child",15,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"53-48-83-71",5,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"53-48-83-71",6,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"53-48-83-71",7,12,,"","Female","Child/Adopted Child",1,,,"",,"",,"No","Parents did not want","",,"","","",,,
"27-13-62-90",1,7,"Members that left - Abducted/disappeared","","Female","Self/Head",31,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","No","Other","Got arrested",,"","","","No",,
"27-13-62-90",2,12,,"","Female","Niece/Nephew",24,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"85-22-01-46",1,12,,"","Female","Self/Head",36,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"85-22-01-46",2,12,,"","Male","Child/Adopted Child",18,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"85-22-01-46",3,12,,"","Male","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",200,"","","",,,
"69-98-12-23",1,12,,"","Male","Self/Head",52,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"69-98-12-23",2,12,,"","Female","Wife/Husband",36,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Parents did not want","",,"","","","No",,
"69-98-12-23",3,12,,"","Male","Child/Adopted Child",10,,,"",,"","Primary 6","Yes",,"",,"","","",,,
"69-98-12-23",4,12,,"","Female","Child/Adopted Child",6,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"69-98-12-23",5,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","minor",,"","","",,,
