interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"73-70-79-76",,,,"",,"",,,,,,,,,,,,
"40-83-72-17",,,,"",,"",,,,,,,,,,,,
"23-74-18-51",51,51,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"18-88-43-52",,,,"",,"",,,,,,,,,,,,
"72-37-85-07",,,,"",,"",,,,,,,,,,,,
"84-90-52-18",,,,"",,"",,,,,,,,,,,,
"94-23-16-05",,,,"",,"",,,,,,,,,,,,
"52-32-19-59",48,48,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"99-83-95-63",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"46-29-66-50",47,47,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"82-09-67-93",65,65,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"53-00-44-01",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"34-98-47-22",,,,"",,"",,,,,,,,,,,,
"78-72-01-35",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"04-97-48-20",146,146,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"99-10-52-87",5,45,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"92-62-56-72",120,120,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"39-32-10-47",146,146,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"25-20-66-75",125,125,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"98-95-69-84",,,,"",,"",,,,,,,,,,,,
"18-35-44-26",10,40,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"59-94-58-22",8,0,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"40-32-33-96",35,35,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"18-30-46-42",150,150,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"42-15-88-64",0,0,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"19-83-07-46",,,,"",,"",,,,,,,,,,,,
"16-76-24-92",,,,"",,"",,,,,,,,,,,,
"16-98-25-56",,,,"",,"",,,,,,,,,,,,
"08-81-97-68",50,50,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"90-75-59-18",10,10,"Others ➡️ Specify","Do not sell due to low yield","No","","No",,,,,,,,,,,
"01-70-02-35",67,67,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"23-94-09-23",,,,"",,"",,,,,,,,,,,,
"08-72-61-50",45,45,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"83-59-21-47",1.5,1.5,"Market in this village","","No","","No",,,,,,,,,,,
"78-07-95-11",100,100,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"70-58-67-82",,,,"",,"",,,,,,,,,,,,
"47-04-86-67",,,,"",,"",,,,,,,,,,,,
"92-02-45-21",5,120,"Market in this village","","No","","No",,,,,,,,,,,
"88-75-68-17",,,,"",,"",,,,,,,,,,,,
"24-82-46-82",2,70,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"21-42-97-88",136,136,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"87-09-20-52",0,40,"Market in this village","","No","","No",,,,,,,,,,,
"68-10-75-89",160,160,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"43-52-85-97",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"00-31-45-58",,,,"",,"",,,,,,,,,,,,
"89-47-55-13",190,190,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"86-75-09-05",,,,"",,"",,,,,,,,,,,,
"70-15-38-18",,,,"",,"",,,,,,,,,,,,
"13-43-56-11",47,47,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"41-78-59-34",1.5,140,"Market in this village","","No","","No",,,,,,,,,,,
"76-42-64-83",2.5,140,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"60-08-55-10",5,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"09-76-96-87",,,,"",,"",,,,,,,,,,,,
"24-13-90-91",,,,"",,"",,,,,,,,,,,,
"79-64-90-22",47,47,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"88-15-47-53",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"74-17-56-50",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"65-73-74-13",170,170,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"78-26-64-75",,,,"",,"",,,,,,,,,,,,
