interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"93-46-32-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-76-52-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-39-76-83","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,260,,,,,,,,,,
"57-92-68-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-75-80-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-91-43-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-94-95-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-37-72-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-63-76-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-36-35-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-65-14-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-95-57-22","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,260,,,,,,,,,,
"17-61-49-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-95-98-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"77-54-37-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-81-42-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-97-99-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-38-38-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-45-81-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-70-03-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-01-72-24","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,65,,,,,,,,,,
"70-18-85-80","Yes","No","more than 2000 m","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,195,,,,,,,,,,
"59-96-51-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-24-68-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-95-69-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-61-58-26","Yes","Yes",,"Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",,260,,,,,,,,,,
"84-70-48-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-07-52-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-50-88-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-43-02-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-84-84-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-35-19-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-90-14-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-16-94-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-24-71-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-33-09-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
