interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"82-09-67-93","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly disagree","strongly distrust","strongly distrust","strongly distrust","strongly distrust","strongly distrust","Not at all worried","Extremely worried","Worried","Worried","Very worried","Slightly worried","Extremely worried","Slightly worried","Not at all worried","Not at all worried"
"53-00-44-01","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","strongly trust","strongly trust","trust","indifferent","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Very worried","Worried","Very worried","Worried"
"34-98-47-22","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Agree","Agree","Agree","distrust","indifferent","indifferent","indifferent","indifferent","Slightly worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Slightly worried","Very worried","Worried"
"78-72-01-35","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Worried","Worried","Very worried"
"04-97-48-20","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Worried","Worried"
"99-10-52-87","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","distrust","trust","strongly distrust","distrust","distrust","Very worried","Very worried","Very worried","Extremely worried","Extremely worried","Very worried","Very worried","Very worried","Worried","Very worried"
"92-62-56-72","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","trust","strongly trust","indifferent","distrust","indifferent","Worried","Extremely worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"39-32-10-47","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","indifferent","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Worried","Worried","Worried"
"25-20-66-75","Indifferent (neither nor)","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","indifferent","indifferent","indifferent","Very worried","Worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Worried","Worried","Worried"
"98-95-69-84","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"18-35-44-26","Agree","Agree","Disagree","Agree","Indifferent (neither nor)","Agree","Disagree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Disagree","Disagree","Disagree","Disagree","trust","trust","distrust","distrust","trust","Extremely worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Slightly worried","Worried","Very worried"
"59-94-58-22","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","indifferent","indifferent","trust","Very worried","Extremely worried","Worried","Worried","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried"
"40-32-33-96","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","strongly trust","strongly trust","strongly trust","Slightly worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Worried","Extremely worried","Worried"
"18-30-46-42","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Extremely worried","Extremely worried","Very worried","Worried","Very worried","Worried","Slightly worried","Worried","Worried"
