interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"10-54-97-94",,,,,,,,,,,,"",,,,
"50-35-50-04","No",,,,,,,,,,,"",,45,,"No"
"62-96-39-45","No",,,,,,,,,,,"",,180,,"No"
"44-55-26-98",,,,,,,,,,,,"",,,,
"93-47-96-78",,,,,,,,,,,,"",,,,
"18-43-28-32","No",,,,,,,,,,,"",,60,,"No"
"37-21-15-22",,,,,,,,,,,,"",,,,
"87-15-89-67",,,,,,,,,,,,"",,,,
"79-26-09-22",,,,,,,,,,,,"",,,,
"75-05-90-14",,,,,,,,,,,,"",,,,
"24-85-21-24",,,,,,,,,,,,"",,,,
"91-48-78-65",,,,,,,,,,,,"",,,,
"32-52-77-66",,,,,,,,,,,,"",,,,
"26-89-84-58",,,,,,,,,,,,"",,,,
"59-38-71-66","No",,,,,,,,,,,"",,25,,"No"
"02-07-52-84",,,,,,,,,,,,"",,,,
"77-80-39-86",,,,,,,,,,,,"",,,,
"72-51-39-42","No",,,,,,,,,,,"",,300,,"No"
"87-64-80-93",,,,,,,,,,,,"",,,,
"36-99-07-56",,,,,,,,,,,,"",,,,
"75-89-92-79","No",,,,,,,,,,,"",,1,,"No"
"44-34-32-32",,,,,,,,,,,,"",,,,
"53-52-93-15",,,,,,,,,,,,"",,,,
"58-35-74-86","No",,,,,,,,,,,"",,.1,,"No"
"23-82-30-50",,,,,,,,,,,,"",,,,
"76-76-95-07","No",,,,,,,,,,,"",,20,,"No"
"69-18-54-45","No",,,,,,,,,,,"",,4,,"No"
"99-14-10-16","No",,,,,,,,,,,"",,.6,,"No"
"55-02-31-58","No",,,,,,,,,,,"",,20,,"No"
"55-65-32-92",,,,,,,,,,,,"",,,,
"66-00-67-40","No",,,,,,,,,,,"",,2,,"No"
"41-51-06-54","Yes","Yes","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",300,3000,"No"
"07-18-54-62",,,,,,,,,,,,"",,,,
"73-70-79-76","No",,,,,,,,,,,"",,.5,,"No"
"40-83-72-17",,,,,,,,,,,,"",,,,
"23-74-18-51",,,,,,,,,,,,"",,,,
"18-88-43-52",,,,,,,,,,,,"",,,,
"72-37-85-07",,,,,,,,,,,,"",,,,
"84-90-52-18",,,,,,,,,,,,"",,,,
"94-23-16-05",,,,,,,,,,,,"",,,,
"52-32-19-59",,,,,,,,,,,,"",,,,
"99-83-95-63","No",,,,,,,,,,,"",,.1,,"No"
"46-29-66-50",,,,,,,,,,,,"",,,,
"82-09-67-93",,,,,,,,,,,,"",,,,
"53-00-44-01","No",,,,,,,,,,,"",,.1,,"No"
"34-98-47-22",,,,,,,,,,,,"",,,,
"78-72-01-35","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,1200,"No"
"04-97-48-20",,,,,,,,,,,,"",,,,
"99-10-52-87","No",,,,,,,,,,,"",,5,,"No"
"92-62-56-72",,,,,,,,,,,,"",,,,
"39-32-10-47","No",,,,,,,,,,,"",,10,,"No"
"25-20-66-75","No",,,,,,,,,,,"",,3,,"No"
"98-95-69-84",,,,,,,,,,,,"",,,,
"18-35-44-26","No",,,,,,,,,,,"",,10,,"No"
"59-94-58-22","No",,,,,,,,,,,"",,8,,"No"
"40-32-33-96",,,,,,,,,,,,"",,,,
"18-30-46-42",,,,,,,,,,,,"",,,,
"42-15-88-64","No",,,,,,,,,,,"",,888,,"No"
"19-83-07-46",,,,,,,,,,,,"",,,,
"16-76-24-92",,,,,,,,,,,,"",,,,
"16-98-25-56",,,,,,,,,,,,"",,,,
"08-81-97-68",,,,,,,,,,,,"",,,,
"90-75-59-18",,,,,,,,,,,,"",,,,
"01-70-02-35","No",,,,,,,,,,,"",,1,,"No"
"23-94-09-23","No",,,,,,,,,,,"",,60,,"No"
"08-72-61-50",,,,,,,,,,,,"",,,,
"83-59-21-47",,,,,,,,,,,,"",,,,
"78-07-95-11","No",,,,,,,,,,,"",,1,,"No"
"70-58-67-82","No",,,,,,,,,,,"",,30,,"No"
"47-04-86-67","No",,,,,,,,,,,"",,1,,"No"
"92-02-45-21",,,,,,,,,,,,"",,,,
"88-75-68-17","No",,,,,,,,,,,"",,.1,,"No"
"24-82-46-82","No",,,,,,,,,,,"",,2,,"No"
"21-42-97-88",,,,,,,,,,,,"",,,,
"87-09-20-52",,,,,,,,,,,,"",,,,
"68-10-75-89",,,,,,,,,,,,"",,,,
"43-52-85-97","No",,,,,,,,,,,"",,10,,"No"
"00-31-45-58",,,,,,,,,,,,"",,,,
"89-47-55-13","No",,,,,,,,,,,"",,19,,"No"
"86-75-09-05",,,,,,,,,,,,"",,,,
"70-15-38-18",,,,,,,,,,,,"",,,,
"13-43-56-11",,,,,,,,,,,,"",,,,
"41-78-59-34",,,,,,,,,,,,"",,,,
"76-42-64-83",,,,,,,,,,,,"",,,,
"60-08-55-10","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",5,14000,"No"
"09-76-96-87",,,,,,,,,,,,"",,,,
"24-13-90-91","No",,,,,,,,,,,"",,67,,"No"
"79-64-90-22",,,,,,,,,,,,"",,,,
"88-15-47-53",,,,,,,,,,,,"",,,,
"74-17-56-50","No",,,,,,,,,,,"",,60,,"No"
"65-73-74-13",,,,,,,,,,,,"",,,,
"78-26-64-75","No",,,,,,,,,,,"",,40,,"No"
"57-56-64-78",,,,,,,,,,,,"",,,,
"79-27-11-92",,,,,,,,,,,,"",,,,
"01-06-16-47","No",,,,,,,,,,,"",,.8,,"No"
"80-39-36-38","No",,,,,,,,,,,"",,1,,"No"
"96-17-52-94","No",,,,,,,,,,,"",,10,,"No"
"67-51-54-29","No",,,,,,,,,,,"",,1,,"No"
"94-25-30-28","No",,,,,,,,,,,"",,.1,,"No"
"99-05-99-45",,,,,,,,,,,,"",,,,
"55-49-77-29","No",,,,,,,,,,,"",,1,,"No"
"59-94-70-54","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",31,31,"No"
"18-48-78-90",,,,,,,,,,,,"",,,,
"91-78-23-71","No",,,,,,,,,,,"",,.1,,"No"
"79-02-43-99","No",,,,,,,,,,,"",,1,,"No"
"05-99-22-70",,,,,,,,,,,,"",,,,
"19-70-78-40",,,,,,,,,,,,"",,,,
