interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"74-11-35-62",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"07-05-49-00",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"12-21-07-33",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"23-59-76-04",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"93-87-90-66",1,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"16-34-09-13",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"85-82-50-77",6,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"89-27-41-66",2,"Thatched grass","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"22-81-16-32",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"54-44-06-88",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"47-49-80-52",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"93-73-35-44",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Other, Specify","She collects from people's household and pays them 100 every month.","No facility/Bush/polythene",""
"08-77-46-38",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"85-57-73-17",7,"Iron sheets","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"48-05-99-35",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"67-13-56-73",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"97-33-85-90",2,"Thatched grass","","Mud with poles","","Cement screed","","Piped water (house or public)","","VIP latrine",""
"10-54-97-94",4,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"50-35-50-04",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"62-96-39-45",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"44-55-26-98",4,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"93-47-96-78",2,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"18-43-28-32",2,"Iron sheets","","Concrete","","Cement screed","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"37-21-15-22",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"87-15-89-67",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"79-26-09-22",2,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"75-05-90-14",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"24-85-21-24",4,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","VIP latrine",""
"91-48-78-65",1,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"32-52-77-66",1,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"26-89-84-58",6,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"59-38-71-66",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"02-07-52-84",3,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"77-80-39-86",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"72-51-39-42",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"87-64-80-93",3,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"36-99-07-56",1,"Iron sheets","","Tin/iron sheets/mabaati","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"75-89-92-79",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"44-34-32-32",3,"Thatched grass","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"53-52-93-15",2,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"58-35-74-86",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"23-82-30-50",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"76-76-95-07",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"69-18-54-45",3,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"99-14-10-16",5,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"55-02-31-58",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"55-65-32-92",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"66-00-67-40",1,"Thatched grass","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"41-51-06-54",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"07-18-54-62",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"73-70-79-76",6,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"40-83-72-17",1,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"23-74-18-51",4,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"18-88-43-52",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"72-37-85-07",3,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"84-90-52-18",4,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"94-23-16-05",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"52-32-19-59",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"99-83-95-63",4,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"46-29-66-50",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"82-09-67-93",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"53-00-44-01",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"34-98-47-22",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"78-72-01-35",3,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"04-97-48-20",1,"Thatched grass","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"99-10-52-87",6,"Iron sheets","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"92-62-56-72",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"39-32-10-47",1,"Thatched grass","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"25-20-66-75",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"98-95-69-84",1,"Thatched grass","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"18-35-44-26",5,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"59-94-58-22",0,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"40-32-33-96",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"18-30-46-42",1,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"42-15-88-64",2,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"19-83-07-46",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"16-76-24-92",5,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"16-98-25-56",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"08-81-97-68",1,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"90-75-59-18",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"01-70-02-35",4,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"23-94-09-23",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"08-72-61-50",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"83-59-21-47",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"78-07-95-11",2,"Thatched grass","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"70-58-67-82",2,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"47-04-86-67",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"92-02-45-21",2,"Thatched grass","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"88-75-68-17",5,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
