interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"52-32-19-59","Hectares","",26,24,0,24,.18,0,0,"Private owned with land title","Private owned with land title",,"Private owned with land title","Private owned with land title",,,"No",,"",,"",,"Very likely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,7,"Slight decrease","Massive decrease","No",,,"",1,"Yes","Because he is planning to venture into business"
"99-83-95-63","Hectares","",.3,0,0,0,.1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,15,"Slight decrease","Massive decrease","No",,,"",2,"No","I have enough"
"46-29-66-50","Hectares","",50,40,0,0,.1,0,0,"Private owned with land title","Private owned with land title",,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,9,"The same","The same","No",,,"",1,"Yes","To build houses for the young ones"
"82-09-67-93","Hectares","",3,1,13,50,.3,0,0,"Private owned with no land title","Private owned with no land title","Communally owned","Communally owned","Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"Massive decrease","Massive decrease","No",,,"",1,"Yes","I want another farm ."
"53-00-44-01","Hectares","",2,0,0,0,1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,10,"Slight decrease","Massive decrease","No",,,"",1,"Yes","for farming"
"34-98-47-22","Hectares","",.5,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,3,"Massive decrease","Massive decrease","No",,,"",1,"No","no money"
"78-72-01-35","Hectares","",4,1,1,1,1,0,0,"Private owned with no land title","Private owned with no land title","Private owned with no land title","Private owned with no land title","Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,6,"The same","The same","No",,,"",1,"No","We are used to what we have."
"04-97-48-20","Hectares","",0,0,0,0,.1,0,0,,,,,"Private owned with land title",,,"Yes","Other individuals","","LC Court","","No","Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,1,"Slight increase","Slight increase","No",,,"",1,"No","have enough"
"99-10-52-87","Hectares","",3,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with land title",,,"Yes","Within family","","Tried to sort out ourselves","","Yes","Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,8,"Slight decrease","Slight decrease","No",,,"",1,"No","She is satisfied and old."
"92-62-56-72","Hectares","",7,0,0,0,.2,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,6,"Slight decrease","Massive decrease","No",,,"",1,"Yes","for our kids"
"39-32-10-47","Hectares","",4,0,0,0,0,0,0,"Private owned with land title",,,,,,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight increase","Slight increase","No",,,"",2,"No","I have enough land like I wanted"
"25-20-66-75","Hectares","",14,8,20,5,.02,0,0,"Communally owned","Communally owned","Communally owned","Communally owned","Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,4,"Massive decrease","Massive decrease","No",,,"",1,"No","enough land"
"98-95-69-84","Hectares","",0,0,0,0,.01,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"No","Satisfied"
"18-35-44-26","Hectares","",3,0,0,0,.2,0,0,"Communally owned",,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Slight decrease","No",,,"",1,"Yes","To build houses to put for rent and earn extra income"
"59-94-58-22","Hectares","",6,0,0,0,.1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"The same","The same","No",,,"",0,"No","No money to buy another plot"
"40-32-33-96","Hectares","",1,0,0,0,.5,0,0,"Private owned with land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,8,"Massive decrease","Massive decrease","No",,,"",1,"No","no money"
"18-30-46-42","Hectares","",6,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",3,"No","have enough"
